Place,all_count,all_pay,cnt frac,lect_count,lect_count_frac,lect_pay,lect_pay_frac,pay frac,prof_count,prof_count_frac,prof_pay,prof_pay_frac
UC - Santa Barbara,3081,361399484,0.308666017527,175,0.056799740344,17721913,0.0490369073133,0.425395861938,776,0.251866277183,136015932,0.376358954624
UC - Santa Cruz,2267,259723693,0.256285840318,83,0.0366122629025,8160640,0.0314204680587,0.323250474496,498,0.219673577415,75795167,0.291830006437
UC - Berkeley,8680,1050057023,0.206105990783,278,0.0320276497696,30294448,0.0288502884476,0.305649875169,1511,0.174078341014,290655350,0.276799586721
UC - Riverside,2333,274263018,0.292327475354,81,0.0347192456065,7386601,0.0269325447297,0.364654803733,601,0.257608229747,92624726,0.337722259003
