Place,all_count,all_pay,cnt frac,lect_count,lect_count_frac,lect_pay,lect_pay_frac,pay frac,prof_count,prof_count_frac,prof_pay,prof_pay_frac
UC - Santa Barbara,15367,551530842,0.0845317888983,445,0.0289581570899,24432095,0.0442986921845,0.311440164211,854,0.0555736318084,147336761,0.267141472027
UC - Santa Cruz,11305,392500156,0.0879256965944,419,0.0370632463512,16214174,0.0413099810335,0.259100539058,575,0.0508624502433,85482828,0.217790558025
UC - Berkeley,32685,1429710677,0.0894905920147,1131,0.0346030289123,48115794,0.03365421744,0.252232332598,1794,0.0548875631023,312503465,0.218578115158
UC - Riverside,11861,448743336,0.0929938453756,324,0.0273164151421,13021584,0.0290178883013,0.284475183828,779,0.0656774302335,114634759,0.255457295526
