Place,pay frac_2013,pay frac_2014,pay frac_2015
UC - Santa Barbara,0.0,0.0346750129132,0.0359904079489
UC - Santa Cruz,0.0146739535094,0.0300583170066,0.0318914752228
UC - Berkeley,0.0201969723882,0.0198793779441,0.0212889981796
UC - Riverside,0.0405939923173,0.0372299281583,0.037815204458
