Place,all_count,all_pay,cnt frac,lect_count,lect_count_frac,lect_pay,lect_pay_frac,pay frac,prof_count,prof_count_frac,prof_pay,prof_pay_frac
UC - Santa Barbara,3063,341042888,0.303950375449,158,0.0515834149527,15331280,0.0449541114606,0.423226482882,773,0.252366960496,129007102,0.378272371421
UC - Santa Cruz,2246,243499509,0.262243989314,86,0.0382902938557,7621852,0.0313013033632,0.326939501139,503,0.223953695459,71987756,0.295638197776
UC - Berkeley,8338,953496014,0.210602062845,262,0.0314224034541,26509969,0.027802915388,0.317207595584,1494,0.179179659391,275946209,0.289404680196
UC - Riverside,2318,256185544,0.289042277826,82,0.0353753235548,6890528,0.0268966308263,0.357493192512,588,0.253666954271,84694060,0.330596561686
