Place,all_count,all_pay,cnt frac,lect_count,lect_count_frac,lect_pay,lect_pay_frac,pay frac,prof_count,prof_count_frac,prof_pay,prof_pay_frac
UC - Santa Barbara,2944,370305039,0.316576086957,157,0.0533288043478,17417030,0.0470342775973,0.43591151078,775,0.263247282609,144003199,0.388877233183
UC - Santa Cruz,2180,264423171,0.281651376147,92,0.0422018348624,9220924,0.0348718456296,0.348167025801,522,0.239449541284,82842505,0.313295180172
UC - Berkeley,8281,1058402858,0.214829126917,283,0.0341746165922,31425792,0.0296917112066,0.315075960424,1496,0.180654510325,302051505,0.285384249218
UC - Riverside,2379,295884461,0.317360235393,92,0.0386717108029,8515199,0.0287787975456,0.397529277484,663,0.27868852459,109107537,0.368750479938
