Place,all_count,all_pay,cnt frac,lect_count,lect_count_frac,lect_pay,lect_pay_frac,pay frac,prof_count,prof_count_frac,prof_pay,prof_pay_frac
UC - Santa Barbara,15147,522889899,0.0833828480887,418,0.0275962236747,23231395,0.044428846387,0.310172293078,845,0.0557866244141,138954564,0.265743446691
UC - Santa Cruz,11365,375871144,0.0822701275847,390,0.0343158820941,15084253,0.0401314472813,0.247629230085,545,0.0479542454905,77992429,0.207497782804
UC - Berkeley,32664,1384476319,0.0886602987999,1124,0.0344109723243,46628703,0.0336796681605,0.249728623202,1772,0.0542493264756,299114662,0.216048955042
UC - Riverside,11696,411655374,0.0868673050616,304,0.0259917920657,11371254,0.0276232371012,0.26474405506,712,0.0608755129959,97612059,0.237120817959
