Place,all_count,all_pay,cnt frac,pay frac,teachg asst_count,teachg asst_count_frac,teachg asst_pay,teachg asst_pay_frac
UC - Santa Barbara,15367,551530842,0.0899329732544,0.0359904079489,1382,0.0899329732544,19849820,0.0359904079489
UC - Santa Cruz,11305,392500156,0.074391862008,0.0318914752228,841,0.074391862008,12517409,0.0318914752228
UC - Berkeley,32685,1429710677,0.0853908520728,0.0212889981796,2791,0.0853908520728,30437108,0.0212889981796
UC - Riverside,11861,448743336,0.0973779613861,0.037815204458,1155,0.0973779613861,16969321,0.037815204458
