Place,all_count,all_pay,cnt frac,pay frac,teachg asst_count,teachg asst_count_frac,teachg asst_pay,teachg asst_pay_frac
UC - Santa Barbara,15147,522889899,0.08853238265,0.0346750129132,1341,0.08853238265,18131214,0.0346750129132
UC - Santa Cruz,11365,375871144,0.0741750989881,0.0300583170066,843,0.0741750989881,11298054,0.0300583170066
UC - Berkeley,32664,1384476319,0.0809759980407,0.0198793779441,2645,0.0809759980407,27522528,0.0198793779441
UC - Riverside,11696,411655374,0.094134746922,0.0372299281583,1101,0.094134746922,15325900,0.0372299281583
