Place,all_count,all_pay,cnt frac,lect_count,lect_count_frac,lect_pay,lect_pay_frac,pay frac,prof_count,prof_count_frac,prof_pay,prof_pay_frac
UC - Santa Barbara,15001,495671933,0.0841943870409,389,0.0259316045597,20532961,0.0414244980056,0.308580496124,874,0.0582627824812,132421730,0.267155998119
UC - Santa Cruz,11175,353289725,0.0831319910515,384,0.0343624161074,12993195,0.036777732497,0.245469134434,545,0.0487695749441,73728528,0.208691401936
UC - Berkeley,31915,1276984466,0.0900516998277,1093,0.0342472191759,40887024,0.0320184192436,0.255279236889,1781,0.0558044806517,285100596,0.223260817646
UC - Riverside,11172,381835713,0.0871822413176,296,0.0264948084497,10582588,0.0277150293692,0.258165437762,678,0.0606874328679,87994196,0.230450408393
