,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
Marinello Schools of Beauty-Los Angeles,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Manhattan,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Meriden,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Moreno Valley,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Niantic,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Provo,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Reno,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Sacramento,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-San Francisco,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Santa Clara,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mansfield Beauty Schools-Springfield,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mansfield Beauty Schools-Quincy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Manhattan Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Manhattan Hairstyling Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lu Ross Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lubbock Hair Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Luckes Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lutheran School of Nursing,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lyles Bakersfield College of Beauty,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lyles Fresno College of Beauty,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lynnes Welding Training,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lytles Redwood Empire Beauty College Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
M J Murphy Beauty College of Mount Pleasant,-10.0,0,0,0,0,0,0,0,0,0,0,0
M T Training Center,-10.0,0,0,0,0,0,0,0,0,0,0,0
MBTI Business Training Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Love Beauty School Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
MCI Institute of Technology,-10.0,0,0,0,0,0,0,0,0,0,0,0
eClips School of Cosmetology and Barbering,-10.0,0,0,0,0,0,0,0,0,0,0,0
MJ's Barber Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
