UNITID,ARANK,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAMNTHT,SAMNTHT,XSAMNTHM,SAMNTHM,XSAMNTHW,SAMNTHW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSAAVMNT,SAAVMNT,XSAAVMNM,SAAVMNM,XSAAVMNW,SAAVMNW 
243188,1,"R",17,"R",10,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",10,"R",7,"R",204,"R",120,"R",84,"R",1266216,"R",724080,"R",542136,"R",6207,"R",6034,"R",6454
243188,2,"R",16,"R",8,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",8,"R",8,"R",192,"R",96,"R",96,"R",1058976,"R",514092,"R",544884,"R",5516,"R",5355,"R",5676
243188,3,"R",18,"R",11,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",11,"R",7,"R",216,"R",132,"R",84,"R",1061304,"R",657432,"R",403872,"R",4913,"R",4981,"R",4808
243188,4,"R",4,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",2,"R",2,"R",48,"R",24,"R",24,"R",187788,"R",95124,"R",92664,"R",3912,"R",3964,"R",3861
243188,7,"R",55,"R",31,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",55,"R",31,"R",24,"R",660,"R",372,"R",288,"R",3574284,"R",1990728,"R",1583556,"R",5416,"R",5351,"R",5498
243197,1,"R",363,"R",249,"R",114,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",2,"R",2,"Z",0,"R",358,"R",244,"R",114,"R",4348,"R",2980,"R",1368,"R",30595477,"R",21420206,"R",9175271,"R",7037,"R",7188,"R",6707
243197,2,"R",151,"R",85,"R",66,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",150,"R",85,"R",65,"R",1811,"R",1020,"R",791,"R",11030992,"R",6303049,"R",4727943,"R",6091,"R",6179,"R",5977
243197,3,"R",78,"R",38,"R",40,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",73,"R",36,"R",37,"R",925,"R",454,"R",471,"R",4861057,"R",2361024,"R",2500033,"R",5255,"R",5200,"R",5308
243197,4,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",36,"R",24,"R",12,"R",94848,"R",48408,"R",46440,"R",2635,"R",2017,"R",3870
243197,6,"R",8,"R",7,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",7,"R",1,"R",96,"R",84,"R",12,"R",629691,"R",560031,"R",69660,"R",6559,"R",6667,"R",5805
243197,7,"R",603,"R",381,"R",222,"R",3,"Z",0,"R",3,"R",3,"R",3,"Z",0,"R",5,"R",4,"R",1,"R",592,"R",374,"R",218,"R",7216,"R",4562,"R",2654,"R",47212065,"R",30692718,"R",16519347,"R",6543,"R",6728,"R",6224
243203,1,"R",178,"R",81,"R",97,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",178,"R",81,"R",97,"R",2136,"R",972,"R",1164,"R",17860709,"R",8300599,"R",9560110,"R",8362,"R",8540,"R",8213
