UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",550,"R",26390089,"R",15,"R",635730,"R",58,"R",2744177,"R",27,"R",1082450,"R",90,"R",7977299,"R",50,"R",2426787,"R",17,"R",959013,"R",92,"R",4123064,"R",4,"R",171855,"R",51,"R",1336275,"R",2,"R",88174,"R",136,"R",4611488,"R",4,"R",131372,"R",4,"R",102405
100663,"R",3079,"R",158154210,"Z",0,"Z",0,"Z",0,"Z",0,"R",90,"R",4904916,"R",221,"R",26938488,"R",547,"R",29711013,"R",442,"R",26569996,"R",269,"R",14292570,"R",64,"R",3095559,"R",438,"R",12693897,"R",2,"R",109575,"R",592,"R",22092836,"R",320,"R",14252077,"R",94,"R",3493283
100690,"R",31,"R",1817356,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",72750,"R",6,"R",633785,"R",2,"R",181338,"R",5,"R",315792,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",575302,"R",1,"R",38389,"Z",0,"Z",0
100706,"R",1015,"R",65213284,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",714094,"R",92,"R",10998342,"R",63,"R",2991286,"R",476,"R",37317276,"R",52,"R",2335568,"R",2,"R",170850,"R",84,"R",1853853,"Z",0,"Z",0,"R",200,"R",7568254,"R",29,"R",1263761,"Z",0,"Z",0
100724,"R",663,"R",26515605,"Z",0,"Z",0,"Z",0,"Z",0,"R",48,"R",1963866,"R",98,"R",6712942,"R",44,"R",1675168,"R",25,"R",1151451,"R",74,"R",3767603,"R",1,"R",42125,"R",165,"R",4164680,"Z",0,"Z",0,"R",180,"R",6227568,"R",21,"R",609036,"R",7,"R",201166
100733,"R",74,"R",9142234,"R",1,"R",96659,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",3777305,"R",14,"R",1379055,"R",5,"R",318235,"R",17,"R",2390386,"Z",0,"Z",0,"R",1,"R",75000,"Z",0,"Z",0,"R",21,"R",1105594,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",3683,"R",185225747,"Z",0,"Z",0,"Z",0,"Z",0,"R",171,"R",7219797,"R",507,"R",51482853,"R",332,"R",17708676,"R",402,"R",21111646,"R",424,"R",23161650,"R",179,"R",8537866,"R",578,"R",18237197,"R",21,"R",567602,"R",791,"R",25059074,"R",188,"R",8992869,"R",90,"R",3146517
100760,"R",63,"R",3532134,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",1721491,"R",1,"R",37854,"R",5,"R",244830,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",278413,"Z",0,"Z",0,"R",30,"R",1249546,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",144,"R",8006906,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",1461783,"R",27,"R",2483302,"R",11,"R",575256,"R",9,"R",559407,"R",8,"R",468533,"Z",0,"Z",0,"R",15,"R",478629,"Z",0,"Z",0,"R",38,"R",1481068,"R",9,"R",386241,"R",3,"R",112687
100830,"R",376,"R",18456146,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",684467,"R",106,"R",8669173,"R",21,"R",1122129,"R",49,"R",2408327,"R",24,"R",947615,"R",3,"R",148504,"R",38,"R",939303,"R",3,"R",79691,"R",113,"R",3412765,"Z",0,"Z",0,"R",2,"R",44172
100858,"R",3490,"R",185589205,"Z",0,"Z",0,"Z",0,"Z",0,"R",221,"R",10496243,"R",729,"R",61550906,"R",109,"R",5758980,"R",710,"R",37447073,"R",309,"R",21499442,"R",146,"R",6697214,"R",233,"R",7306359,"R",16,"R",514239,"R",780,"R",25603810,"R",186,"R",6694421,"R",51,"R",2020518
100937,"R",186,"R",9261327,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",1006158,"R",35,"R",2903558,"R",8,"R",331421,"R",11,"R",593537,"R",45,"R",2024256,"R",4,"R",153000,"R",16,"R",692356,"R",1,"R",22386,"R",44,"R",1506364,"Z",0,"Z",0,"R",1,"R",28291
101028,"R",53,"R",2707789,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",97845,"R",17,"R",1347957,"R",3,"R",212847,"R",1,"R",38748,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",130896,"R",1,"R",43168,"R",22,"R",785618,"R",2,"R",50710,"Z",0,"Z",0
101073,"R",43,"R",1757600,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",150000,"R",8,"R",502000,"R",5,"R",214000,"R",1,"R",60000,"R",8,"R",280000,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",38000,"R",12,"R",420000,"R",3,"R",93600,"Z",0,"Z",0
101116,"R",40,"R",2249084,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",28766,"R",18,"R",1375277,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",795641,"R",2,"R",49400,"Z",0,"Z",0
101143,"R",89,"R",4418149,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",1511835,"R",4,"R",474450,"R",10,"R",553828,"R",4,"R",164756,"R",2,"R",116575,"Z",0,"Z",0,"R",14,"R",497873,"R",2,"R",70359,"R",30,"R",1028473,"Z",0,"Z",0,"Z",0,"Z",0
