UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C014,F1C014,XF1C015,F1C015,XF1C016,F1C016,XF1C017,F1C017,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C024,F1C024,XF1C025,F1C025,XF1C026,F1C026,XF1C027,F1C027,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C034,F1C034,XF1C035,F1C035,XF1C036,F1C036,XF1C037,F1C037,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C054,F1C054,XF1C055,F1C055,XF1C056,F1C056,XF1C057,F1C057,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C064,F1C064,XF1C065,F1C065,XF1C066,F1C066,XF1C067,F1C067,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C074,F1C074,XF1C075,F1C075,XF1C076,F1C076,XF1C077,F1C077,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C084,F1C084,XF1C085,F1C085,XF1C086,F1C086,XF1C087,F1C087,XF1C101,F1C101,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C114,F1C114,XF1C115,F1C115,XF1C116,F1C116,XF1C117,F1C117,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C124,F1C124,XF1C125,F1C125,XF1C126,F1C126,XF1C127,F1C127,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C134,F1C134,XF1C135,F1C135,XF1C136,F1C136,XF1C137,F1C137,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C144,F1C144,XF1C145,F1C145,XF1C146,F1C146,XF1C147,F1C147,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C194,F1C194,XF1C195,F1C195,XF1C196,F1C196,XF1C197,F1C197,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",69984184,"R",113739402,"R",4451716,"R",118191118,"R",188175302,"R",3255000,"R",53379650,"R",56634650,"R",47580602,"R",0,"R",47580602,"R",104215252,"R",59811949,"R",19488834,"R",0,"R",4659267,"R",83960050,"R",4982207,"R",0,"R",176589409,"R",29377315,"R",0,"R",210948931,"R",97209529,"R",0,"R",0,"R",40999774,"R",23253008,"R",880197,"R",824909,"R",824909,"R",0,"R",11955954,"R",0,"R",1966285,"R",0,"R",940891,"R",80821018,"R",2238778,"R",39335736,"R",0,"R",13853782,"R",0,"R",0,"R",0,"R",6461,"R",0,"R",55434757,"R",136255775,"R",0,"R",0,"R",0,"R",0,"R",0,"R",136255775,"R",33743737,"R",21326535,"R",5117265,"R",1231886,"R",2574911,"R",2794660,"R",698480,"R",7872427,"R",3424377,"R",643671,"R",287399,"R",2702029,"R",651995,"R",162956,"R",15657259,"R",7527913,"R",1868366,"R",571601,"R",4068545,"R",1296736,"R",324098,"R",5431209,"R",2686046,"R",660559,"R",198278,"R",1324089,"R",449813,"R",112424,"R",14349955,"R",6279088,"R",1546948,"R",523875,"R",4514541,"R",1188465,"R",297038,"R",34321045,"R",8966043,"R",3607116,"R",1252961,"R",16942022,"R",2842473,"R",710430,"R",0,"R",0,"R",0,"R",0,"R",10047078,"R",-10047078,"R",0,"R",15259028,"R",15259028,"R",9936427,"R",1161933,"R",315544,"R",362750,"R",7067584,"R",822936,"R",205680,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5264241,"R",0,"R",0,"R",0,"R",5264241,"R",0,"R",0,"R",141835328,"R",51371935,"R",13759469,"R",4428750,"R",69764068,"R",0,"R",2511106,"R",136255775,"R",141835328,"R",-5579553,"R",83869099,"R",5670504,"R",83960050,"R",13853782,"R",1799927,"R",0,"R",0,"R",0,"R",8347511,"R",24001220,"R",8742192,"R",0,"R",8742192,"R",15259028,2 ,"A",,"A",
100663,"R",869577141,"R",1523734098,"R",1308911252,"R",2832645350,"R",3702222491,"R",26158449,"R",303969173,"R",330127622,"R",929946950,"R",28848409,"R",958795359,"R",1288922981,"R",695173811,"R",212482294,"R",273551082,"R",1232092323,"R",2413299510,"R",119941651,"R",93325838,"R",2124403377,"R",828995406,"R",35274556,"R",3201940828,"R",1678206731,"R",0,"R",0,"R",146814105,"R",314887544,"R",7140898,"R",46839892,"R",1933975,"R",44905917,"R",23792255,"R",1278461433,"R",58133856,"R",0,"R",39764568,"R",1915834551,"R",0,"R",258429840,"R",0,"R",26026070,"R",116209,"R",0,"R",32067976,"R",86920339,"R",26304015,"R",429864449,"R",2345699000,"R",8680247,"R",4507902,"R",9568250,"R",0,"R",22756399,"R",2368455399,"R",279675576,"R",183351969,"R",48873157,"R",7341060,"R",23821286,"R",14815111,"R",1472993,"R",266672286,"R",124732658,"R",34102413,"R",11441325,"R",85187000,"R",9613829,"R",1595061,"R",103987629,"R",44153390,"R",12413200,"R",8188703,"R",27450568,"R",9986405,"R",1795363,"R",172103056,"R",106399914,"R",30511376,"R",0,"R",29901235,"R",4295414,"R",995117,"R",32301135,"R",13574609,"R",3692217,"R",229056,"R",11776975,"R",1684233,"R",1344045,"R",112215672,"R",46910710,"R",23014835,"R",4519657,"R",31646921,"R",4971794,"R",1151755,"R",0,"R",20838498,"R",6340135,"R",6826805,"R",35760443,"R",-70437550,"R",671669,"R",20999390,"R",20999390,"R",51229886,"R",13901139,"R",4132058,"R",5508155,"R",20589931,"R",5352301,"R",1746302,"R",1219049610,"R",459441500,"R",129502875,"R",53834401,"R",536428907,"R",19718463,"R",20123464,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2258234240,"R",1013304387,"R",292582266,"R",97889162,"R",823562656,"R",0,"R",30895769,"R",2368455399,"R",2258234240,"R",110221159,"R",2290822955,"R",12255396,"R",2413299510,"R",17036485,"R",12835057,"R",288155,"R",3430,"R",7921247,"R",32983283,"R",71067657,"R",47144688,"R",2923579,"R",50068267,"R",20999390,1 ,"R",366669135,"R",392284979
100706,"R",173235505,"R",212167710,"R",72248008,"R",284415718,"R",457651223,"R",4603600,"R",50375441,"R",54979041,"R",107792600,"R",0,"R",107792600,"R",162771641,"R",121879828,"R",9051983,"R",9055754,"R",154892017,"R",294879582,"R",22423176,"R",0,"R",290629408,"R",92498850,"R",18454776,"R",424006210,"R",206101243,"R",2939750,"R",0,"R",50594944,"R",89510918,"R",5223746,"R",2074302,"R",0,"R",2074302,"R",6135066,"R",0,"R",3530514,"R",0,"R",0,"R",157069490,"R",0,"R",42710964,"R",0,"R",7615679,"R",0,"R",0,"R",3807320,"R",6334687,"R",1142452,"R",61611102,"R",218680592,"R",0,"R",637197,"R",236520,"R",0,"R",873717,"R",219554309,"R",56858478,"R",34437189,"R",10792058,"R",3932716,"R",3859957,"R",3359760,"R",476798,"R",91258452,"R",48463342,"R",14364788,"R",3478917,"R",19145187,"R",5619606,"R",186612,"R",5291356,"R",1834775,"R",539127,"R",128072,"R",2457861,"R",331521,"R",0,"R",11423540,"R",5439264,"R",1540081,"R",840251,"R",2856780,"R",674811,"R",72353,"R",15146590,"R",5987761,"R",1808127,"R",234632,"R",6028079,"R",948501,"R",139490,"R",20284513,"R",9667027,"R",2072926,"R",848540,"R",6426793,"R",1240750,"R",28477,"R",0,"R",3775968,"R",1351575,"R",355533,"R",6998862,"R",-12481938,"R",0,"R",1090063,"R",1090063,"R",8911133,"R",1181700,"R",290349,"R",2598105,"R",3002180,"R",306989,"R",1531810,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",210264125,"R",110787026,"R",32759031,"R",12416766,"R",51865762,"R",0,"R",2435540,"R",219554309,"R",210264125,"R",9290184,"R",285589398,"R",0,"R",294879582,"R",7615679,"R",120037,"R",32399,"R",0,"R",2384239,"R",10581222,"R",20733576,"R",18612696,"R",1030817,"R",19643513,"R",1090063,1 ,"R",65579434,"R",69929806
100724,"R",63893804,"R",317256920,"R",13889123,"R",331146043,"R",395039847,"R",6958330,"R",31132313,"R",38090643,"R",223486179,"R",8055197,"R",231541376,"R",269632019,"R",100629396,"R",976567,"R",250000,"R",23551865,"R",125407828,"R",20929013,"R",89492021,"R",265039468,"R",31568688,"R",3738431,"R",410767621,"R",105254719,"Z",0,"R",11744019,"R",43528006,"R",10931781,"R",5054573,"R",2516734,"Z",0,"R",2516734,"R",12885799,"Z",0,"Z",0,"Z",0,"R",4579644,"R",79496537,"Z",0,"R",42658142,"Z",0,"R",18999747,"Z",0,"Z",0,"R",279954,"R",1759191,"R",0,"R",63697034,"R",143193571,"R",2471409,"R",0,"R",0,"R",0,"R",2471409,"R",145664980,"R",41184390,"R",24452339,"R",5555239,"R",3362242,"R",1669775,"R",3102476,"R",3042319,"R",2052331,"R",588935,"R",96824,"R",167550,"R",892810,"R",154605,"R",151607,"R",9783559,"R",1054997,"R",280655,"R",798717,"R",6189463,"R",737009,"R",722718,"R",9209235,"R",4038585,"R",932182,"R",751830,"R",2112601,"R",693744,"R",680293,"R",17102006,"R",7008968,"R",1754257,"R",1396187,"R",4390940,"R",1288317,"R",1263337,"R",41342707,"R",12708090,"R",3803118,"R",3300767,"R",18186289,"R",3045750,"R",298693,"R",0,"R",2429270,"R",849080,"Z",0,"R",6556345,"R",-9834695,"Z",0,"R",21036092,"R",21036092,"R",10789588,"R",2085192,"R",668350,"R",880849,"R",5545369,"R",812794,"R",797034,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",152499908,"R",54366376,"R",13939705,"R",10658142,"R",66579684,"R",0,"R",6956001,"R",145664980,"R",152499908,"R",-6834928,"R",132242756,"R",0,"R",125407828,"R",18699124,"R",300623,"R",12000,"Z",0,"R",2339958,"R",13162195,"R",34513900,"R",7412794,"R",6065014,"R",13477808,"R",21036092,1 ,"R",78692474,"R",73546541
100733,"R",3484030,"R",7083978,"R",10366116,"R",17450094,"R",20934124,"R",0,"R",2445379,"R",2445379,"R",0,"R",0,"R",0,"R",2445379,"R",7083978,"R",0,"R",0,"R",11404767,"R",18488745,"R",106750,"R",76802,"R",1750878,"R",912909,"R",6500000,"R",9347339,"R",2263361,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"Z",0,"A",,"R",17000000,"R",17000000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",175434,"R",46855,"R",222289,"R",17222289,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17222289,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15322734,"R",12766122,"R",2456512,"R",100100,"R",0,"R",0,"R",0,"R",15322734,"R",12766122,"R",2456512,"R",100100,"R",0,"R",0,"R",0,"R",17222289,"R",15322734,"R",1899555,"R",16589190,"R",0,"R",18488745,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",525605272,"R",1539631730,"R",1158052904,"R",2697684634,"R",3223289906,"R",22042947,"R",402199441,"R",424242388,"R",798426049,"R",21690291,"R",820116340,"R",1244358728,"R",817415403,"R",330619227,"R",352224161,"R",478672387,"R",1978931178,"R",132569270,"R",58035614,"R",1463267725,"R",253305696,"R",134921338,"R",2042099643,"R",541397231,"R",38929318,"R",0,"R",386942854,"R",37533122,"R",26094705,"R",4323510,"R",536475,"R",3787035,"R",144765209,"R",0,"R",12986742,"R",0,"R",42516071,"R",655162213,"R",0,"R",140699910,"R",0,"R",33280581,"R",0,"R",0,"R",45366130,"R",64135946,"R",2264415,"R",285746982,"R",940909195,"R",769264,"R",15911727,"R",16999033,"R",0,"R",33680024,"R",974589219,"R",311434055,"R",176946592,"R",63880513,"R",12997181,"R",32832994,"R",16458722,"R",8318053,"R",55324009,"R",20873574,"R",7895610,"R",4183664,"R",19367154,"R",3004007,"Z",0,"R",50011480,"R",27125490,"R",7745866,"R",1306402,"R",11118177,"R",2715545,"Z",0,"R",93697085,"R",44944658,"R",12625992,"R",10095466,"R",20943365,"R",5087604,"Z",0,"R",53105560,"R",25903567,"R",6870659,"R",2937498,"R",14510288,"R",2883548,"Z",0,"R",83530397,"R",40357951,"R",18055748,"R",3406070,"R",12344417,"R",4258213,"R",5107998,"R",0,"Z",0,"Z",0,"Z",0,"R",34407639,"R",-34407639,"Z",0,"R",20647980,"R",20647980,"R",167853998,"R",44901923,"R",12048492,"R",14796876,"R",74596514,"Z",0,"R",21510193,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5754228,"R",0,"R",0,"R",0,"R",5754228,"R",0,"R",0,"R",841358792,"R",381053755,"R",129122880,"R",49723157,"R",246522756,"R",0,"R",34936244,"R",974589219,"R",841358792,"R",133230427,"R",1849418474,"R",-3717723,"R",1978931178,"R",24983210,"R",3291894,"R",346047,"R",0,"R",13700075,"R",116437351,"R",158758577,"R",127427695,"R",10682902,"R",138110597,"R",20647980,1 ,"R",673605620,"R",617611309
100760,"R",12549909,"R",18753579,"R",6734648,"R",25488227,"R",38038136,"R",330813,"R",5868468,"R",6199281,"R",9306214,"R",0,"R",9306214,"R",15505495,"R",15851200,"R",345218,"R",500,"R",6335723,"R",22532641,"R",1699274,"R",2217190,"R",26318896,"R",6125200,"R",5035374,"R",41395934,"R",16988309,"R",0,"R",1080602,"R",3530589,"R",2274611,"R",564065,"R",6600,"R",0,"R",6600,"R",0,"A",,"R",1046,"A",,"R",0,"R",6376911,"Z",0,"R",6597236,"Z",0,"R",9481374,"R",0,"Z",0,"R",0,"R",4191,"R",47208,"R",16130009,"R",22506920,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22506920,"R",8836685,"R",5829304,"R",1546290,"R",580000,"R",246173,"R",562734,"R",72184,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1295405,"R",165501,"R",61154,"Z",0,"R",1011448,"R",57302,"Z",0,"R",1874543,"R",459471,"R",127811,"Z",0,"R",1052176,"R",235085,"Z",0,"R",2003027,"R",1246832,"R",390364,"Z",0,"R",22019,"R",343812,"Z",0,"R",2772517,"R",1540834,"R",446106,"Z",0,"R",515230,"R",270347,"Z",0,"R",0,"Z",0,"Z",0,"R",870000,"R",491005,"R",-1469280,"R",108275,"R",7695792,"R",7695792,"R",0,"R",0,"R",0,"Z",0,"R",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2768228,"R",0,"R",0,"R",0,"R",2768228,"R",0,"R",0,"R",27246197,"R",9241942,"R",2571725,"R",1450000,"R",13802071,"R",0,"R",180459,"R",22506920,"R",27246197,"R",-4739277,"R",19112837,"R",8159081,"R",22532641,"R",9481374,"Z",0,"R",564065,"Z",0,"Z",0,"R",893059,"R",10938498,"R",3242706,"R",0,"R",3242706,"R",7695792,1 ,"R",345218,"R",340265
100812,"R",10818481,"R",37435841,"R",5216815,"R",42652656,"R",53471137,"R",545000,"R",5194113,"R",5739113,"R",13060000,"R",835656,"R",13895656,"R",19634769,"R",23982318,"R",186507,"R",0,"R",9667543,"R",33836368,"R",2533856,"R",1299966,"R",38253784,"R",3894560,"R",4697338,"R",50679504,"R",13243662,"R",0,"R",0,"R",14115040,"R",809318,"R",1822062,"R",495300,"R",495300,"R",0,"R",363818,"R",0,"R",10424,"R",0,"R",0,"R",17615962,"R",0,"R",11178201,"R",0,"R",5549835,"R",0,"R",0,"R",287715,"R",212232,"R",505800,"R",17733783,"R",35349745,"R",0,"R",0,"R",0,"R",0,"R",0,"R",35349745,"R",17113793,"R",10413164,"R",2763256,"R",525584,"R",1155793,"R",1742371,"R",513625,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3329239,"R",1721165,"R",516703,"R",84469,"R",726878,"R",280024,"Z",0,"R",2865284,"R",1610582,"R",554560,"R",103240,"R",254651,"R",342251,"Z",0,"R",5466173,"R",2115332,"R",655070,"R",225250,"R",1723790,"R",746731,"Z",0,"R",0,"R",1557875,"R",591218,"Z",0,"R",962284,"R",-3111377,"Z",0,"R",3778710,"R",3778710,"R",456381,"R",166330,"R",54422,"Z",0,"R",235629,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",893769,"R",0,"R",0,"R",0,"R",893769,"R",0,"R",0,"R",33903349,"R",17584448,"R",5135229,"R",938543,"R",9731504,"R",0,"R",513625,"R",35349745,"R",33903349,"R",1446396,"R",32389972,"R",0,"R",33836368,"R",5549835,"R",204375,"R",43188,"R",0,"R",0,"R",1084937,"R",6882335,"R",3103625,"R",0,"R",3103625,"R",3778710,1 ,"R",2213720,"R",2365949
100830,"R",12141164,"R",98896175,"R",49939945,"R",148836120,"R",160977284,"R",320000,"R",20629041,"R",20949041,"R",665000,"R",89575648,"R",90240648,"R",111189689,"R",16021458,"R",24754851,"R",5117263,"R",3894023,"R",49787595,"R",10514510,"R",5560587,"R",112156196,"R",31768493,"Z",0,"R",159999786,"R",63050813,"Z",0,"Z",0,"R",31202849,"R",3162680,"R",8921273,"R",383644,"R",248716,"R",134928,"R",6571827,"Z",0,"Z",0,"Z",0,"R",4363759,"R",54606032,"Z",0,"R",21947664,"Z",0,"R",7235288,"Z",0,"Z",0,"R",571691,"R",1625695,"R",0,"R",31380338,"R",85986370,"R",22266,"R",5118,"R",37420,"R",0,"R",64804,"R",86051174,"R",27895492,"R",20223979,"R",5429574,"R",563649,"R",34425,"R",1643865,"Z",0,"R",529709,"R",241970,"R",56756,"Z",0,"R",211841,"R",19142,"Z",0,"R",13314921,"R",5227259,"R",1294121,"R",140349,"R",6235306,"R",417886,"Z",0,"R",4470433,"R",2768644,"R",734288,"R",328288,"R",414747,"R",224466,"Z",0,"R",6126597,"R",3561724,"R",886118,"R",130240,"R",1263500,"R",285015,"Z",0,"R",9218681,"R",5376962,"R",1612322,"R",328288,"R",1453240,"R",447869,"Z",0,"R",0,"R",589641,"R",146018,"Z",0,"R",4989430,"R",-5725089,"Z",0,"R",3272107,"R",3272107,"R",6165077,"R",1193463,"R",224546,"R",3038261,"R",455737,"R",90865,"R",1162205,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18350647,"R",1169119,"R",458029,"R",364713,"R",13762805,"R",2595981,"R",0,"R",89343664,"R",40352761,"R",10841772,"R",4893788,"R",32093138,"R",0,"R",1162205,"R",86051174,"R",89343664,"R",-3292490,"R",53080085,"R",0,"R",49787595,"R",7235288,"R",145439,"R",47471,"R",0,"R",443401,"R",6558908,"R",14430507,"R",10230725,"R",927675,"R",11158400,"R",3272107,1 ,"R",39855526,"R",43933312
100858,"R",256936897,"R",1324232549,"R",1046191046,"R",2370423595,"R",2627360492,"R",22653262,"R",276408592,"R",299061854,"R",738590580,"R",62229480,"R",800820060,"R",1099881914,"R",771445940,"R",148428882,"R",22579300,"R",585024456,"R",1527478578,"R",114824114,"R",201414008,"R",1402867209,"R",386717925,"R",83683919,"R",2189507175,"R",755101124,"Z",0,"R",1936810,"R",314028163,"R",79552841,"R",5992610,"R",14929180,"R",2544025,"R",12385155,"R",97970439,"Z",0,"R",39230810,"Z",0,"R",14831975,"R",566536018,"Z",0,"R",216653516,"Z",0,"R",13690726,"Z",0,"Z",0,"R",34782655,"R",11504287,"R",0,"R",276631184,"R",843167202,"R",91922,"R",28081284,"R",1681867,"R",0,"R",29855073,"R",873022275,"R",269687352,"R",145917029,"R",45087630,"R",20678467,"R",32536493,"R",21760590,"R",3707143,"R",128475852,"R",54602170,"R",23011402,"R",9850976,"R",30190102,"R",9246042,"R",1575160,"R",101051752,"R",40864623,"R",15461488,"R",7748214,"R",35081993,"R",1619530,"R",275904,"R",62591599,"R",31050750,"R",8431268,"R",4799255,"R",6541407,"R",10055807,"R",1713112,"R",26308145,"R",11678124,"R",2731405,"R",2017196,"R",7029654,"R",2436656,"R",415110,"R",66564125,"R",45752060,"R",11202767,"R",5103851,"R",2558321,"R",1663698,"R",283428,"R",0,"R",20313074,"R",5817280,"Z",0,"R",47484631,"R",-73614985,"Z",0,"R",12244922,"R",12244922,"R",143111533,"R",35968196,"R",8895625,"R",10973177,"R",55870650,"R",26832662,"R",4571223,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",810035280,"R",386146026,"R",120638865,"R",61171136,"R",229538173,"R",0,"R",12541080,"R",873022275,"R",810035280,"R",62986995,"R",1466864702,"R",-2373119,"R",1527478578,"R",13690726,"R",574046,"Z",0,"Z",0,"R",24130217,"R",77428127,"R",115823116,"R",97464758,"R",6113436,"R",103578194,"R",12244922,1 ,"R",458906091,"R",526128048
