Unnamed: 0,Ovhd,Rank,CONTROL
Ohio University-Zanesville Campus,0.9,359.0,1
Michigan Technological University,0.91,370.5,1
Virginia Polytechnic Institute and State University,0.91,370.5,1
University of Michigan-Dearborn,0.91,370.5,1
CUNY Brooklyn College,0.91,370.5,1
Texas A & M University-Corpus Christi,0.91,370.5,1
Texas Southern University,0.92,384.5,1
Southern University at New Orleans,0.92,384.5,1
The University of Texas Rio Grande Valley,0.92,384.5,1
Armstrong State University,0.92,384.5,1
Western State Colorado University,0.92,384.5,1
Youngstown State University,0.92,384.5,1
University of North Texas,0.92,384.5,1
Western Illinois University,0.93,401.5,1
Virginia State University,0.93,401.5,1
Missouri Southern State University,0.93,401.5,1
Portland State University,0.93,401.5,1
Louisiana State University-Alexandria,0.93,401.5,1
Florida Gulf Coast University,0.94,416.5,1
Pennsylvania State University-Penn State Schuylkill,0.94,416.5,1
University of Mary Washington,0.94,416.5,1
Colorado State University-Pueblo,0.94,416.5,1
California University of Pennsylvania,0.94,416.5,1
Central Connecticut State University,0.94,416.5,1
Texas A & M University-Commerce,0.94,416.5,1
University of Maryland-College Park,0.95,431.5,1
Francis Marion University,0.95,431.5,1
The University of Tennessee-Chattanooga,0.95,431.5,1
Texas Woman's University,0.95,431.5,1
Gordon State College,0.95,431.5,1
University of Northern Colorado,0.95,431.5,1
CUNY City College,0.95,431.5,1
Minot State University,0.95,431.5,1
The University of Tennessee-Martin,0.95,431.5,1
Iowa State University,0.95,431.5,1
SUNY at Fredonia,0.95,431.5,1
Stephen F Austin State University,0.96,445.5,1
Towson University,0.96,445.5,1
Northwestern Oklahoma State University,0.96,445.5,1
Angelo State University,0.96,445.5,1
University of Central Missouri,0.96,445.5,1
Southeastern Louisiana University,0.96,445.5,1
University of Wisconsin-Platteville,0.97,458.0,1
Pennsylvania State University-Penn State Shenango,0.97,458.0,1
Ohio State University-Lima Campus,0.97,458.0,1
University of Puerto Rico-Humacao,0.97,458.0,1
University of Colorado Colorado Springs,0.97,458.0,1
University of Hawaii at Hilo,0.98,472.0,1
South Texas College,0.98,472.0,1
Shawnee State University,0.98,472.0,1
Stony Brook University,0.98,472.0,1
CUNY John Jay College of Criminal Justice,0.98,472.0,1
Fairmont State University,0.98,472.0,1
Weber State University,0.98,472.0,1
University of Southern Indiana,0.98,472.0,1
University of South Florida-Sarasota-Manatee,0.98,472.0,1
University of Massachusetts-Amherst,0.98,472.0,1
University of Minnesota-Duluth,0.99,487.5,1
University of Southern Mississippi,0.99,487.5,1
Saint Cloud State University,0.99,487.5,1
Clarion University of Pennsylvania,0.99,487.5,1
Murray State University,0.99,487.5,1
University of Hawaii at Manoa,0.99,487.5,1
University of Arkansas at Monticello,0.99,487.5,1
Georgia Southwestern State University,0.99,487.5,1
Georgia College and State University,0.99,487.5,1
Bowling Green State University-Main Campus,0.99,487.5,1
Snow College,1.0,509.0,1
Florida Agricultural and Mechanical University,1.0,509.0,1
Longwood University,1.0,509.0,1
College of Southern Nevada,1.0,509.0,1
University of Puerto Rico-Rio Piedras,1.0,509.0,1
University of Minnesota-Morris,1.0,509.0,1
SUNY College at Geneseo,1.0,509.0,1
The University of Montana,1.0,509.0,1
Pennsylvania State University-Penn State Mont Alto,1.0,509.0,1
Lake Superior State University,1.0,509.0,1
University of Minnesota-Crookston,1.0,509.0,1
Indiana University-Bloomington,1.0,509.0,1
Arizona State University-Downtown Phoenix,1.0,509.0,1
Austin Peay State University,1.0,509.0,1
Pennsylvania State University-Penn State New Kensington,1.0,509.0,1
Bemidji State University,1.0,509.0,1
The University of Texas at Arlington,1.01,529.0,1
Michigan State University,1.01,529.0,1
Saginaw Valley State University,1.01,529.0,1
Bluefield State College,1.01,529.0,1
University of Kansas,1.01,529.0,1
University of Wisconsin-Oshkosh,1.01,529.0,1
Fayetteville State University,1.02,546.5,1
College of Staten Island CUNY,1.02,546.5,1
College of Charleston,1.02,546.5,1
University of Central Oklahoma,1.02,546.5,1
Pittsburg State University,1.02,546.5,1
Washburn University,1.02,546.5,1
Southern University and A & M College,1.02,546.5,1
University of Wisconsin-Milwaukee,1.02,546.5,1
Glenville State College,1.02,546.5,1
Missouri Western State University,1.03,567.0,1
Missouri University of Science and Technology,1.03,567.0,1
Mansfield University of Pennsylvania,1.03,567.0,1
Southeast Missouri State University,1.03,567.0,1
Southern Oregon University,1.03,567.0,1
University of Memphis,1.04,589.5,1
Fort Lewis College,1.04,589.5,1
Lincoln University,1.04,589.5,1
Lincoln University,1.04,589.5,1
Norfolk State University,1.04,589.5,1
West Virginia State University,1.04,589.5,1
Southern Utah University,1.04,589.5,1
Eastern Virginia Medical School,1.05,614.5,1
University of Wisconsin-River Falls,1.05,614.5,1
University of South Alabama,1.05,614.5,1
The University of Virginia's College at Wise,1.05,614.5,1
Central Washington University,1.05,614.5,1
University of Houston-Clear Lake,1.05,614.5,1
Oregon State University,1.05,614.5,1
University of New Hampshire-Main Campus,1.05,614.5,1
Indiana University-Kokomo,1.06,636.5,1
Ohio State University-Newark Campus,1.06,636.5,1
Sam Houston State University,1.06,636.5,1
University of North Carolina at Asheville,1.06,636.5,1
Northern Kentucky University,1.06,636.5,1
Columbus State University,1.06,636.5,1
Western Carolina University,1.06,636.5,1
University of Oregon,1.06,636.5,1
University of Pittsburgh-Bradford,1.06,636.5,1
Tennessee Technological University,1.06,636.5,1
SUNY Polytechnic Institute,1.06,636.5,1
University of North Carolina Wilmington,1.06,636.5,1
The University of Texas at Dallas,1.07,656.0,1
University of the District of Columbia-David A Clarke School of Law,1.07,656.0,1
The University of Texas at Tyler,1.07,656.0,1
Arkansas State University-Main Campus,1.07,656.0,1
University of Rhode Island,1.07,656.0,1
Fort Hays State University,1.07,656.0,1
University of North Georgia,1.07,656.0,1
Georgia Southern University,1.07,656.0,1
Clemson University,1.08,671.0,1
Pennsylvania State University-Penn State Hazleton,1.08,671.0,1
Dakota State University,1.08,671.0,1
Northern Arizona University,1.08,671.0,1
Northern Michigan University,1.08,671.0,1
Eastern Washington University,1.09,685.0,1
Pennsylvania State University-Penn State Lehigh Valley,1.09,685.0,1
University of Toledo,1.09,685.0,1
Oakland University,1.1,708.5,1
University of Hawaii Maui College,1.1,708.5,1
Texas A & M University-Central Texas,1.1,708.5,1
California State University-Fullerton,1.1,708.5,1
Frostburg State University,1.1,708.5,1
Indiana University-Purdue University-Indianapolis,1.1,708.5,1
Ohio State University-Mansfield Campus,1.1,708.5,1
Indiana University-Northwest,1.1,708.5,1
West Virginia University,1.1,708.5,1
California State University-Chico,1.1,708.5,1
West Virginia University Institute of Technology,1.1,708.5,1
CUNY Lehman College,1.1,708.5,1
University of Wisconsin-Stevens Point,1.1,708.5,1
SUNY College at Oswego,1.11,735.5,1
Southeastern Oklahoma State University,1.11,735.5,1
University of Alaska Anchorage,1.11,735.5,1
Ball State University,1.11,735.5,1
California State University-Long Beach,1.11,735.5,1
University of West Georgia,1.11,735.5,1
University of New Hampshire at Manchester,1.11,735.5,1
Oklahoma State University Institute of Technology,1.11,735.5,1
University of Colorado Boulder,1.11,735.5,1
College of William and Mary,1.11,735.5,1
University of Nebraska at Omaha,1.11,735.5,1
Puerto Rico Conservatory of Music,1.11,735.5,1
Westfield State University,1.12,760.5,1
SUNY College at Potsdam,1.12,760.5,1
Dixie State University,1.12,760.5,1
University of North Carolina at Charlotte,1.12,760.5,1
Indiana State University,1.12,760.5,1
University of Wisconsin-Stout,1.12,760.5,1
SUNY College at Brockport,1.12,760.5,1
California State University-Fresno,1.12,760.5,1
State University of New York at New Paltz,1.12,760.5,1
California Polytechnic State University-San Luis Obispo,1.12,760.5,1
Arizona State University-West,1.12,760.5,1
Winthrop University,1.12,760.5,1
Wayne State College,1.13,785.5,1
Jacksonville State University,1.13,785.5,1
Indiana University-East,1.13,785.5,1
Cameron University,1.13,785.5,1
Emporia State University,1.13,785.5,1
Utah State University,1.13,785.5,1
University of Michigan-Flint,1.13,785.5,1
California State University-Los Angeles,1.13,785.5,1
Jackson College,1.13,785.5,1
SUNY College at Plattsburgh,1.13,785.5,1
William Paterson University of New Jersey,1.14,810.0,1
Adams State University,1.14,810.0,1
Florida Atlantic University,1.14,810.0,1
University of Washington-Seattle Campus,1.14,810.0,1
University of Houston-Downtown,1.14,810.0,1
The University of Texas at El Paso,1.15,832.5,1
The University of Texas of the Permian Basin,1.15,832.5,1
Texas State University,1.15,832.5,1
University of North Carolina at Pembroke,1.15,832.5,1
University of Massachusetts-Dartmouth,1.15,832.5,1
SUNY College at Old Westbury,1.16,855.0,1
University at Buffalo,1.16,855.0,1
North Carolina Central University,1.16,855.0,1
University of South Florida-Main Campus,1.16,855.0,1
San Francisco State University,1.16,855.0,1
University of Central Florida,1.16,855.0,1
Pennsylvania College of Technology,1.16,855.0,1
California State University-Northridge,1.17,875.5,1
University of California-Santa Barbara,1.17,875.5,1
Delta State University,1.17,875.5,1
SUNY College of Technology at Alfred,1.17,875.5,1
Pennsylvania State University-Penn State Wilkes-Barre,1.17,875.5,1
University of Wyoming,1.17,875.5,1
Southwest Minnesota State University,1.17,875.5,1
University of Massachusetts-Boston,1.18,896.5,1
University of Maryland Eastern Shore,1.18,896.5,1
Salem State University,1.18,896.5,1
University of Puerto Rico-Carolina,1.18,896.5,1
Montclair State University,1.18,896.5,1
Montana State University-Billings,1.18,896.5,1
Bowie State University,1.18,896.5,1
Savannah State University,1.19,922.0,1
Worcester State University,1.19,922.0,1
Grambling State University,1.19,922.0,1
Morgan State University,1.19,922.0,1
East Tennessee State University,1.19,922.0,1
University of Houston,1.19,922.0,1
Utah Valley University,1.19,922.0,1
Black Hills State University,1.19,922.0,1
University of California-Hastings College of Law,1.19,922.0,1
Temple University,1.19,922.0,1
Dickinson State University,1.2,941.0,1
Wayne State University,1.2,941.0,1
Abraham Baldwin Agricultural College,1.21,958.5,1
University of Northern Iowa,1.21,958.5,1
Western Kentucky University,1.21,958.5,1
University of Oklahoma-Norman Campus,1.21,958.5,1
Citadel Military College of South Carolina,1.21,958.5,1
University of Massachusetts-Lowell,1.21,958.5,1
Idaho State University,1.21,958.5,1
SUNY College of Technology at Delhi,1.21,958.5,1
Alabama State University,1.22,980.0,1
University of North Florida,1.22,980.0,1
California State University-Stanislaus,1.22,980.0,1
College of Coastal Georgia,1.22,980.0,1
Miami University-Middletown,1.22,980.0,1
University of Cincinnati-Main Campus,1.23,1001.0,1
Northwest Missouri State University,1.23,1001.0,1
South Dakota State University,1.23,1001.0,1
University of Maryland-Baltimore County,1.23,1001.0,1
SUNY Oneonta,1.23,1001.0,1
University of Arkansas at Little Rock,1.23,1001.0,1
University of Alaska Fairbanks,1.23,1001.0,1
University of South Carolina-Aiken,1.23,1001.0,1
Chadron State College,1.23,1001.0,1
North Carolina A & T State University,1.24,1023.0,1
University of Utah,1.24,1023.0,1
Boise State University,1.24,1023.0,1
Fitchburg State University,1.24,1023.0,1
Valley City State University,1.24,1023.0,1
Wright State University-Main Campus,1.24,1023.0,1
Framingham State University,1.24,1023.0,1
Prairie View A & M University,1.24,1023.0,1
Kean University,1.25,1043.5,1
California State Polytechnic University-Pomona,1.26,1066.0,1
The University of Tennessee-Knoxville,1.26,1066.0,1
Auburn University at Montgomery,1.26,1066.0,1
University of Nebraska-Lincoln,1.26,1066.0,1
Bismarck State College,1.26,1066.0,1
Texas A & M International University,1.26,1066.0,1
Highline College,1.26,1066.0,1
SUNY at Albany,1.26,1066.0,1
The College of New Jersey,1.27,1091.0,1
Athens State University,1.27,1091.0,1
Purdue University-North Central Campus,1.27,1091.0,1
Pennsylvania State University-Penn State Greater Allegheny,1.27,1091.0,1
SUNY College of Environmental Science and Forestry,1.27,1091.0,1
University of Louisville,1.27,1091.0,1
Kent State University at Kent,1.28,1111.5,1
Clayton  State University,1.28,1111.5,1
University of Wisconsin-Superior,1.28,1111.5,1
University of Houston-Victoria,1.28,1111.5,1
University of Puerto Rico-Mayaguez,1.28,1111.5,1
California State University-Dominguez Hills,1.28,1111.5,1
University of Nevada-Las Vegas,1.28,1111.5,1
San Diego State University,1.28,1111.5,1
Southern University Law Center,1.29,1129.0,1
University of South Carolina-Columbia,1.29,1129.0,1
University of Pittsburgh-Pittsburgh Campus,1.29,1129.0,1
Great Basin College,1.29,1129.0,1
California State University-Sacramento,1.29,1129.0,1
Virginia Military Institute,1.3,1146.0,1
Pennsylvania State University-Dickinson Law,1.3,1146.0,1
Eastern Kentucky University,1.3,1146.0,1
St Mary's College of Maryland,1.3,1146.0,1
University of Puerto Rico-Ponce,1.3,1146.0,1
Oklahoma State University-Main Campus,1.3,1146.0,1
University of Maine at Fort Kent,1.31,1166.0,1
University of North Carolina at Greensboro,1.31,1166.0,1
University of Virginia-Main Campus,1.31,1166.0,1
Southern Illinois University-Edwardsville,1.31,1166.0,1
West Virginia University at Parkersburg,1.31,1166.0,1
Western Connecticut State University,1.31,1166.0,1
Rogers State University,1.31,1166.0,1
San Jose State University,1.32,1185.0,1
