Unnamed: 0,Ovhd,Rank,CONTROL
Northeastern Illinois University,1.91,2019.0,1
California State University-Monterey Bay,1.91,2019.0,1
Santa Fe College,1.92,2029.0,1
University of California-Berkeley,1.92,2029.0,1
University of California-San Diego,1.92,2029.0,1
Green River College,1.92,2029.0,1
Fashion Institute of Technology,1.93,2037.5,1
South Georgia State College,1.94,2041.5,1
"University of Maryland, Baltimore",1.95,2047.0,1
Mississippi State University,1.99,2069.0,1
Dine College,2.0,2074.0,1
State College of Florida-Manatee-Sarasota,2.04,2097.0,1
Sitting Bull College,2.04,2097.0,1
California State University-Channel Islands,2.04,2097.0,1
Mayville State University,2.07,2113.0,1
Florida State College at Jacksonville,2.11,2138.0,1
Haskell Indian Nations University,2.12,2144.5,1
Southern Illinois University-Carbondale,2.14,2155.5,1
Atlanta Metropolitan State College,2.19,2179.5,1
The California Maritime Academy,2.22,2190.5,1
Lake-Sumter State College,2.22,2190.5,1
South Seattle College,2.22,2190.5,1
Sonoma State University,2.23,2198.0,1
Palm Beach State College,2.23,2198.0,1
University of Alabama in Huntsville,2.29,2234.5,1
Oklahoma Panhandle State University,2.31,2244.0,1
Peninsula College,2.31,2244.0,1
University of Oklahoma-Health Sciences Center,2.32,2253.0,1
South Florida State College,2.33,2261.0,1
University of the Virgin Islands,2.34,2266.0,1
Nueta Hidatsa Sahnish College,2.39,2292.5,1
Chipola College,2.39,2292.5,1
Louisiana State University Health Sciences Center-New Orleans,2.47,2315.0,1
American Samoa Community College,2.49,2321.0,1
Thunderbird School of Global Management,2.55,2336.0,1
Northern Marianas College,2.61,2359.5,1
Upstate Medical University,2.64,2370.0,1
The University of Texas Health Science Center at Houston,2.7,2395.0,1
University of Nebraska Medical Center,2.71,2398.0,1
Northern New Mexico College,2.72,2400.5,1
Harris-Stowe State University,2.76,2412.5,1
Institute of American Indian and Alaska Native Culture,2.82,2430.0,1
Medical University of South Carolina,2.87,2441.5,1
SUNY Downstate Medical Center,2.89,2447.0,1
Florida Polytechnic University,2.96,2460.0,1
