UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",530,"R",25213483,"R",28,"R",1231914,"R",80,"R",3701753,"R",71,"R",3111832,"R",64,"R",5921633,"R",44,"R",2113429,"R",22,"R",1198218,"R",29,"R",1485110,"R",3,"R",129514,"R",56,"R",1614588,"R",3,"R",121948,"R",123,"R",4364376,"R",2,"R",80812,"R",5,"R",138356
100663,"R",3070,"R",162346621,"Z",0,"Z",0,"Z",0,"Z",0,"R",135,"R",5087293,"R",248,"R",30463963,"R",511,"R",30155831,"R",446,"R",27172575,"R",204,"R",11205621,"R",64,"R",3363571,"R",487,"R",14229505,"Z",0,"Z",0,"R",587,"R",22730689,"R",305,"R",14526305,"R",83,"R",3411268
100690,"R",31,"R",1757248,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",607279,"R",6,"R",601953,"R",3,"R",144746,"R",5,"R",323970,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",79300,"Z",0,"Z",0
100706,"R",1036,"R",68670514,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",736021,"R",96,"R",11720383,"R",64,"R",3188731,"R",497,"R",38786170,"R",58,"R",2701592,"R",2,"R",175123,"R",78,"R",2362132,"Z",0,"Z",0,"R",197,"R",7778410,"R",27,"R",1221952,"Z",0,"Z",0
100724,"R",657,"R",28869662,"R",4,"R",153750,"Z",0,"Z",0,"R",73,"R",3017512,"R",80,"R",7490674,"R",40,"R",1668083,"R",40,"R",1997305,"R",86,"R",4252849,"R",4,"R",178518,"R",154,"R",4085616,"R",7,"R",183352,"R",117,"R",4108059,"R",42,"R",1530140,"R",10,"R",203804
100733,"R",76,"R",9483473,"R",1,"R",99559,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",3791392,"R",17,"R",1611741,"R",4,"R",271084,"R",19,"R",2587821,"Z",0,"Z",0,"R",1,"R",77500,"Z",0,"Z",0,"R",20,"R",1044376,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",3827,"R",196430808,"Z",0,"Z",0,"Z",0,"Z",0,"R",180,"R",7719257,"R",507,"R",52728744,"R",362,"R",19728089,"R",423,"R",22755930,"R",450,"R",25271487,"R",175,"R",8494099,"R",622,"R",20475714,"R",24,"R",654098,"R",789,"R",25539863,"R",195,"R",9529998,"R",100,"R",3533529
100760,"R",62,"R",3360775,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",49420,"R",16,"R",1411917,"R",1,"R",38748,"R",1,"R",50354,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",242334,"Z",0,"Z",0,"R",37,"R",1568002,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",139,"R",7943525,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",1524974,"R",24,"R",2275450,"R",11,"R",611546,"R",9,"R",568609,"R",7,"R",404199,"Z",0,"Z",0,"R",14,"R",459608,"Z",0,"Z",0,"R",40,"R",1575964,"R",9,"R",435875,"R",2,"R",87300
100830,"R",388,"R",19460407,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",831400,"R",111,"R",8772400,"R",27,"R",1610250,"R",51,"R",2568581,"R",27,"R",1060390,"R",4,"R",207250,"R",32,"R",788289,"R",3,"R",60529,"R",111,"R",3501122,"Z",0,"Z",0,"R",3,"R",60196
