UNITID,ARANK,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAMNTHT,SAMNTHT,XSAMNTHM,SAMNTHM,XSAMNTHW,SAMNTHW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSAAVMNT,SAAVMNT,XSAAVMNM,SAAVMNM,XSAAVMNW,SAAVMNW 
100654,1,"R",53,"R",39,"R",14,"R",43,"R",32,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",7,"R",3,"R",507,"R",372,"R",135,"R",4809372,"R",3369195,"R",1440177,"R",9486,"R",9057,"R",10668
100654,2,"R",75,"R",48,"R",27,"R",64,"R",42,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",6,"R",5,"R",708,"R",450,"R",258,"R",5067908,"R",3294755,"R",1773153,"R",7158,"R",7322,"R",6873
100654,3,"R",92,"R",51,"R",41,"R",86,"R",48,"R",38,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",3,"R",3,"R",846,"R",468,"R",378,"R",5453520,"R",3178845,"R",2274675,"R",6446,"R",6792,"R",6018
100654,4,"R",33,"R",11,"R",22,"R",33,"R",11,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",297,"R",99,"R",198,"R",1387002,"R",494047,"R",892955,"R",4670,"R",4990,"R",4510
100654,6,"R",4,"R",2,"R",2,"R",4,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",36,"R",18,"R",18,"R",228355,"R",128142,"R",100213,"R",6343,"R",7119,"R",5567
100654,7,"R",257,"R",151,"R",106,"R",230,"R",135,"R",95,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"R",16,"R",11,"R",2394,"R",1407,"R",987,"R",16946157,"R",10464984,"R",6481173,"R",7079,"R",7438,"R",6567
100663,1,"R",234,"R",164,"R",70,"R",83,"R",65,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",151,"R",99,"R",52,"R",2559,"R",1773,"R",786,"R",40017621,"R",28062968,"R",11954653,"R",15638,"R",15828,"R",15209
100663,2,"R",273,"R",149,"R",124,"R",145,"R",90,"R",55,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",128,"R",59,"R",69,"R",2841,"R",1518,"R",1323,"R",26684590,"R",14519204,"R",12165386,"R",9393,"R",9565,"R",9195
100663,3,"R",300,"R",137,"R",163,"R",145,"R",81,"R",64,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",155,"R",56,"R",99,"R",3165,"R",1401,"R",1764,"R",24867313,"R",11281353,"R",13585960,"R",7857,"R",8052,"R",7702
100663,4,"R",109,"R",38,"R",71,"R",38,"R",19,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",71,"R",19,"R",52,"R",1194,"R",399,"R",795,"R",7680570,"R",2678771,"R",5001799,"R",6433,"R",6714,"R",6292
