UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",518,"R",24448012,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",753024,"R",74,"R",6286180,"R",34,"R",1732386,"R",35,"R",1714039,"R",116,"R",5491282,"R",1,"R",63882,"R",51,"R",1524608,"R",3,"R",117586,"R",169,"R",6181278,"R",7,"R",224088,"R",10,"R",359659
100663,"R",3068,"R",162200854,"Z",0,"Z",0,"Z",0,"Z",0,"R",70,"R",2329920,"R",263,"R",30977167,"R",544,"R",31588841,"R",471,"R",29645267,"R",216,"R",11607822,"R",63,"R",3399807,"R",520,"R",14852193,"Z",0,"Z",0,"R",568,"R",21529317,"R",269,"R",12900020,"R",84,"R",3370500
100690,"R",30,"R",1718125,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",508176,"R",6,"R",726562,"R",3,"R",143201,"R",4,"R",260450,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",79736,"Z",0,"Z",0
100706,"R",1034,"R",69507565,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1035914,"R",104,"R",13074620,"R",73,"R",3615999,"R",468,"R",37333030,"R",58,"R",2752525,"R",3,"R",228504,"R",84,"R",2566373,"Z",0,"Z",0,"R",190,"R",7647266,"R",28,"R",1231834,"R",1,"R",21500
100724,"R",626,"R",27330665,"R",2,"R",92250,"Z",0,"Z",0,"R",75,"R",3031494,"R",78,"R",6958810,"R",38,"R",1663749,"R",29,"R",1469249,"R",87,"R",4273637,"R",4,"R",176634,"R",144,"R",3819746,"R",8,"R",214416,"R",116,"R",4160819,"R",39,"R",1347437,"R",6,"R",122424
100733,"R",81,"R",10108004,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",3856000,"R",15,"R",1426518,"R",5,"R",317331,"R",19,"R",3053446,"Z",0,"Z",0,"R",1,"R",80000,"Z",0,"Z",0,"R",26,"R",1374709,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",3997,"R",209528581,"Z",0,"Z",0,"Z",0,"Z",0,"R",179,"R",7863753,"R",514,"R",54105689,"R",402,"R",22527142,"R",429,"R",24096354,"R",476,"R",27908464,"R",191,"R",9374227,"R",673,"R",22630321,"R",25,"R",638584,"R",796,"R",26175199,"R",208,"R",10452891,"R",104,"R",3755957
100760,"R",69,"R",3585786,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",102840,"R",15,"R",1336880,"R",1,"R",38748,"R",1,"R",50354,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",266798,"Z",0,"Z",0,"R",42,"R",1790166,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",134,"R",7746213,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",1437905,"R",25,"R",2429408,"R",9,"R",484315,"R",8,"R",519671,"R",9,"R",473875,"Z",0,"Z",0,"R",12,"R",399359,"Z",0,"Z",0,"R",37,"R",1464978,"R",9,"R",449402,"R",2,"R",87300
100830,"R",382,"R",19624417,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",933250,"R",119,"R",9401571,"R",24,"R",1374640,"R",46,"R",2523940,"R",24,"R",910820,"R",4,"R",211540,"R",31,"R",778255,"R",3,"R",61390,"R",106,"R",3384581,"Z",0,"Z",0,"R",2,"R",44430
