UNITID,ARANK,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAMNTHT,SAMNTHT,XSAMNTHM,SAMNTHM,XSAMNTHW,SAMNTHW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSAAVMNT,SAAVMNT,XSAAVMNM,SAAVMNM,XSAAVMNW,SAAVMNW 
100654,1,"R",51,"R",39,"R",12,"R",46,"R",35,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4,"R",1,"R",474,"R",363,"R",111,"R",4431726,"R",3375780,"R",1055946,"R",9350,"R",9300,"R",9513
100654,2,"R",61,"R",41,"R",20,"R",59,"R",39,"R",20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",555,"R",375,"R",180,"R",4154098,"R",2789580,"R",1364518,"R",7485,"R",7439,"R",7581
100654,3,"R",91,"R",48,"R",43,"R",90,"R",48,"R",42,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",822,"R",432,"R",390,"R",5152087,"R",2837486,"R",2314601,"R",6268,"R",6568,"R",5935
100654,4,"R",35,"R",11,"R",24,"R",35,"R",11,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",315,"R",99,"R",216,"R",1504175,"R",498745,"R",1005430,"R",4775,"R",5038,"R",4655
100654,6,"R",3,"Z",0,"R",3,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"R",27,"R",146815,"Z",0,"R",146815,"R",5438,"A",,"R",5438
100654,7,"R",241,"R",139,"R",102,"R",233,"R",133,"R",100,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",6,"R",2,"R",2193,"R",1269,"R",924,"R",15388901,"R",9501591,"R",5887310,"R",7017,"R",7487,"R",6372
100663,1,"R",230,"R",161,"R",69,"R",105,"R",87,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",125,"R",74,"R",51,"R",2445,"R",1671,"R",774,"R",36129409,"R",25009124,"R",11120285,"R",14777,"R",14967,"R",14367
100663,2,"R",250,"R",132,"R",118,"R",135,"R",83,"R",52,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",115,"R",49,"R",66,"R",2595,"R",1335,"R",1260,"R",25241515,"R",12966383,"R",12275132,"R",9727,"R",9713,"R",9742
100663,3,"R",278,"R",132,"R",146,"R",147,"R",84,"R",63,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",131,"R",48,"R",83,"R",2895,"R",1332,"R",1563,"R",23498513,"R",11240011,"R",12258502,"R",8117,"R",8438,"R",7843
100663,4,"R",106,"R",32,"R",74,"R",40,"R",17,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",66,"R",15,"R",51,"R",1152,"R",333,"R",819,"R",8006201,"R",2513772,"R",5492429,"R",6950,"R",7549,"R",6706
100663,7,"R",864,"R",457,"R",407,"R",427,"R",271,"R",156,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",437,"R",186,"R",251,"R",9087,"R",4671,"R",4416,"R",92875638,"R",51729290,"R",41146348,"R",10221,"R",11075,"R",9318
100690,4,"R",36,"R",28,"R",8,"R",15,"R",10,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",18,"R",3,"R",387,"R",306,"R",81,"R",1244814,"R",986977,"R",257837,"R",3217,"R",3225,"R",3183
100690,7,"R",36,"R",28,"R",8,"R",15,"R",10,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",18,"R",3,"R",387,"R",306,"R",81,"R",1244814,"R",986977,"R",257837,"R",3217,"R",3225,"R",3183
100706,1,"R",69,"R",57,"R",12,"R",51,"R",41,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",16,"R",2,"R",675,"R",561,"R",114,"R",9136555,"R",7522660,"R",1613895,"R",13536,"R",13409,"R",14157
100706,2,"R",100,"R",66,"R",34,"R",90,"R",60,"R",30,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",6,"R",4,"R",930,"R",612,"R",318,"R",9308939,"R",6430097,"R",2878842,"R",10010,"R",10507,"R",9053
100706,3,"R",91,"R",46,"R",45,"R",90,"R",46,"R",44,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",822,"R",414,"R",408,"R",6880166,"R",3641108,"R",3239058,"R",8370,"R",8795,"R",7939
100706,4,"R",11,"Z",0,"R",11,"R",11,"Z",0,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",99,"Z",0,"R",99,"R",619266,"Z",0,"R",619266,"R",6255,"A",,"R",6255
100706,5,"R",50,"R",18,"R",32,"R",38,"R",12,"R",26,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",6,"R",6,"R",486,"R",180,"R",306,"R",2712040,"R",1058796,"R",1653244,"R",5580,"R",5882,"R",5403
100706,7,"R",321,"R",187,"R",134,"R",280,"R",159,"R",121,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",41,"R",28,"R",13,"R",3012,"R",1767,"R",1245,"R",28656966,"R",18652661,"R",10004305,"R",9514,"R",10556,"R",8036
100724,1,"R",60,"R",36,"R",24,"R",34,"R",21,"R",13,"R",26,"R",15,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",566,"R",339,"R",227,"R",6084384,"R",3662370,"R",2422014,"R",10750,"R",10803,"R",10670
100724,2,"R",73,"R",34,"R",39,"R",40,"R",20,"R",20,"R",32,"R",13,"R",19,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",692,"R",322,"R",370,"R",5839161,"R",2728155,"R",3111006,"R",8438,"R",8473,"R",8408
100724,3,"R",66,"R",31,"R",35,"R",38,"R",16,"R",22,"R",28,"R",15,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",622,"R",294,"R",328,"R",4601714,"R",2205054,"R",2396660,"R",7398,"R",7500,"R",7307
100724,4,"R",46,"R",15,"R",31,"R",34,"R",11,"R",23,"R",12,"R",4,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",426,"R",139,"R",287,"R",2262932,"R",733273,"R",1529659,"R",5312,"R",5275,"R",5330
100724,6,"R",9,"R",3,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",3,"R",6,"R",108,"R",36,"R",72,"R",378659,"R",143762,"R",234897,"R",3506,"R",3993,"R",3262
100724,7,"R",254,"R",119,"R",135,"R",146,"R",68,"R",78,"R",98,"R",47,"R",51,"Z",0,"Z",0,"Z",0,"R",10,"R",4,"R",6,"R",2414,"R",1130,"R",1284,"R",19166850,"R",9472614,"R",9694236,"R",7940,"R",8383,"R",7550
100751,1,"R",304,"R",230,"R",74,"R",275,"R",209,"R",66,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",21,"R",8,"R",2823,"R",2133,"R",690,"R",43905937,"R",34206633,"R",9699304,"R",15553,"R",16037,"R",14057
100751,2,"R",332,"R",189,"R",143,"R",293,"R",172,"R",121,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",39,"R",17,"R",22,"R",3105,"R",1752,"R",1353,"R",31399579,"R",18380263,"R",13019316,"R",10113,"R",10491,"R",9623
100751,3,"R",395,"R",194,"R",201,"R",338,"R",172,"R",166,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",57,"R",22,"R",35,"R",3726,"R",1812,"R",1914,"R",28799674,"R",15121917,"R",13677757,"R",7729,"R",8345,"R",7146
100751,4,"R",272,"R",122,"R",150,"R",235,"R",109,"R",126,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",13,"R",24,"R",2559,"R",1137,"R",1422,"R",14558435,"R",6535033,"R",8023402,"R",5689,"R",5748,"R",5642
100751,5,"R",14,"R",10,"R",4,"R",10,"R",7,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"R",138,"R",99,"R",39,"R",1263977,"R",936859,"R",327118,"R",9159,"R",9463,"R",8388
