UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
224961,"R",101,"R",5541344,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",1207357,"R",19,"R",1835664,"R",13,"R",603750,"R",8,"R",437700,"R",6,"R",239383,"Z",0,"Z",0,"R",12,"R",386383,"Z",0,"Z",0,"R",18,"R",705731,"R",3,"R",125376,"Z",0,"Z",0
225070,"R",138,"R",5633034,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",956579,"R",30,"R",2381525,"R",2,"R",67414,"R",6,"R",222308,"R",8,"R",237514,"Z",0,"Z",0,"R",21,"R",619093,"Z",0,"Z",0,"R",39,"R",1041862,"R",3,"R",106739,"Z",0,"Z",0
225201,"R",63,"R",3317165,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",158380,"R",19,"R",1660264,"R",9,"R",368483,"R",8,"R",270031,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",53625,"R",11,"R",467901,"R",8,"R",305335,"R",1,"R",33146,"Z",0,"Z",0
225247,"R",172,"R",7374485,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",512027,"R",17,"R",1592597,"R",38,"R",1398860,"R",9,"R",464927,"R",22,"R",1005126,"R",3,"R",192904,"R",16,"R",555530,"Z",0,"Z",0,"R",47,"R",1335272,"R",7,"R",317242,"Z",0,"Z",0
225308,"R",196,"R",9109203,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",651063,"R",51,"R",3871741,"R",22,"R",894260,"R",16,"R",799031,"R",19,"R",698954,"Z",0,"Z",0,"R",13,"R",476150,"Z",0,"Z",0,"R",56,"R",1658483,"Z",0,"Z",0,"R",1,"R",59521
225371,"R",121,"R",4394620,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",587761,"R",26,"R",1804130,"R",7,"R",237171,"R",10,"R",393271,"R",3,"R",93640,"Z",0,"Z",0,"R",12,"R",318489,"Z",0,"Z",0,"R",40,"R",960158,"Z",0,"Z",0,"Z",0,"Z",0
225399,"R",260,"R",14648989,"Z",0,"Z",0,"Z",0,"Z",0,"R",46,"R",1994310,"R",55,"R",5348809,"R",16,"R",799748,"R",4,"R",201896,"R",48,"R",2556839,"R",8,"R",349071,"R",26,"R",1041180,"R",2,"R",75923,"R",42,"R",1657414,"R",11,"R",558443,"R",2,"R",65356
225414,"R",567,"R",27358968,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",1008494,"R",97,"R",8399419,"R",115,"R",5381969,"R",61,"R",3221853,"R",36,"R",1644159,"R",3,"R",147226,"R",55,"R",1884171,"Z",0,"Z",0,"R",148,"R",4667000,"R",22,"R",818288,"R",6,"R",186389
225423,"R",1465,"R",85971162,"Z",0,"Z",0,"Z",0,"Z",0,"R",289,"R",15865482,"R",185,"R",19050852,"R",158,"R",9505957,"R",87,"R",6770576,"R",201,"R",10946854,"R",2,"R",98007,"R",138,"R",6154635,"R",31,"R",1302100,"R",331,"R",14190092,"R",41,"R",2019463,"R",2,"R",67144
225432,"R",542,"R",31584699,"Z",0,"Z",0,"Z",0,"Z",0,"R",36,"R",1523576,"R",42,"R",4765639,"R",199,"R",11903717,"R",100,"R",6635324,"R",35,"R",1569515,"Z",0,"Z",0,"R",35,"R",1569253,"Z",0,"Z",0,"R",70,"R",2604534,"R",25,"R",1013141,"Z",0,"Z",0
225502,"R",278,"R",12256997,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",512879,"R",27,"R",2808074,"R",7,"R",321923,"R",30,"R",1328535,"R",19,"R",712473,"R",4,"R",129368,"R",30,"R",847860,"Z",0,"Z",0,"R",147,"R",5535960,"Z",0,"Z",0,"R",2,"R",59925
225511,"R",3751,"R",208688910,"R",80,"R",6066160,"Z",0,"Z",0,"R",159,"R",7823996,"R",812,"R",68014555,"R",880,"R",42885125,"R",611,"R",33998097,"R",146,"R",11793479,"R",53,"R",2777680,"R",399,"R",12026774,"R",10,"R",382906,"R",392,"R",14233214,"R",204,"R",8500930,"R",5,"R",185994
225520,"R",156,"R",5958248,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",507602,"R",39,"R",2137003,"R",1,"R",77344,"R",7,"R",268589,"R",18,"R",685699,"Z",0,"Z",0,"R",24,"R",674852,"Z",0,"Z",0,"R",45,"R",1366947,"R",7,"R",221138,"R",1,"R",19074
225548,"R",143,"R",5303821,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",371255,"R",25,"R",1665856,"R",5,"R",184474,"R",8,"R",358102,"R",27,"R",938121,"R",3,"R",107800,"R",26,"R",582082,"Z",0,"Z",0,"R",32,"R",833317,"R",6,"R",262814,"Z",0,"Z",0
225575,"R",78,"R",3719287,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",514768,"R",24,"R",1709142,"R",6,"R",275342,"R",2,"R",85696,"R",16,"R",562674,"Z",0,"Z",0,"R",2,"R",40108,"Z",0,"Z",0,"R",16,"R",531557,"Z",0,"Z",0,"Z",0,"Z",0
225627,"R",591,"R",32438369,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",1697242,"R",137,"R",13381646,"R",72,"R",3311989,"R",35,"R",1773982,"R",110,"R",5152418,"R",13,"R",548894,"R",38,"R",1308817,"Z",0,"Z",0,"R",100,"R",3570563,"R",37,"R",1360173,"R",12,"R",332645
225779,"R",12,"R",353880,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",226000,"R",2,"R",45000,"R",1,"R",40000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",22880,"R",1,"R",20000,"Z",0,"Z",0
225788,"R",5,"R",143000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",56000,"R",1,"R",25000,"R",1,"R",22000,"Z",0,"Z",0
225849,"R",38,"R",1786851,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",71480,"R",7,"R",462759,"R",2,"R",101605,"R",1,"R",63714,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",1087293,"Z",0,"Z",0,"Z",0,"Z",0
225858,"R",35,"R",1642070,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",80503,"R",7,"R",453607,"R",2,"R",84413,"R",1,"R",41011,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",982536,"Z",0,"Z",0,"Z",0,"Z",0
225876,"R",30,"R",879659,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",75379,"R",7,"R",304000,"R",2,"R",69000,"Z",0,"Z",0,"R",5,"R",161445,"R",1,"R",30300,"R",9,"R",132880,"R",1,"R",35000,"Z",0,"Z",0,"R",2,"R",71655,"Z",0,"Z",0
225885,"R",106,"R",4845333,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",831500,"R",8,"R",863333,"R",9,"R",463000,"R",5,"R",271000,"R",16,"R",750200,"R",2,"R",88000,"R",24,"R",891000,"Z",0,"Z",0,"R",7,"R",219000,"R",15,"R",442800,"R",1,"R",25500
225991,"R",11,"R",665600,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",342000,"R",2,"R",107600,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",156000,"R",2,"R",60000,"Z",0,"Z",0,"Z",0,"Z",0
226019,"R",177,"R",6961141,"Z",0,"Z",0,"Z",0,"Z",0,"R",47,"R",1374970,"R",41,"R",2786661,"R",17,"R",616944,"R",5,"R",218184,"R",14,"R",528366,"Z",0,"Z",0,"R",6,"R",198892,"Z",0,"Z",0,"R",47,"R",1237124,"Z",0,"Z",0,"Z",0,"Z",0
226091,"R",858,"R",38211620,"R",4,"R",245305,"Z",0,"Z",0,"R",179,"R",7875359,"R",127,"R",10784496,"R",81,"R",3039262,"R",64,"R",2962878,"R",65,"R",2962878,"R",14,"R",680680,"R",133,"R",3505780,"Z",0,"Z",0,"R",148,"R",4561734,"R",41,"R",1505307,"R",2,"R",87941
226107,"R",87,"R",3879500,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",344887,"R",23,"R",1700254,"R",7,"R",285867,"R",10,"R",429727,"R",3,"R",107764,"Z",0,"Z",0,"R",9,"R",238836,"Z",0,"Z",0,"R",25,"R",747162,"Z",0,"Z",0,"R",1,"R",25003
226116,"R",112,"R",5423300,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",145233,"R",36,"R",2421147,"R",10,"R",517596,"R",11,"R",683912,"R",4,"R",182828,"Z",0,"Z",0,"R",14,"R",332360,"Z",0,"Z",0,"R",28,"R",930447,"R",5,"R",209777,"Z",0,"Z",0
226134,"R",427,"R",17304983,"Z",0,"Z",0,"Z",0,"Z",0,"R",62,"R",2114586,"R",69,"R",5119633,"R",15,"R",591547,"R",29,"R",1358161,"R",41,"R",1988022,"R",3,"R",128275,"R",66,"R",1890479,"Z",0,"Z",0,"R",125,"R",3588330,"R",17,"R",525950,"Z",0,"Z",0
226152,"R",451,"R",21841696,"Z",0,"Z",0,"R",7,"R",498741,"R",33,"R",1197045,"R",146,"R",9934299,"R",39,"R",1839448,"R",27,"R",1317014,"R",54,"R",2220979,"R",6,"R",294984,"R",21,"R",903218,"Z",0,"Z",0,"R",115,"R",3552712,"Z",0,"Z",0,"R",3,"R",83256
226204,"R",246,"R",12155272,"Z",0,"Z",0,"Z",0,"Z",0,"R",46,"R",2219671,"R",35,"R",3134373,"R",8,"R",445777,"R",15,"R",975006,"R",21,"R",1211241,"Z",0,"Z",0,"R",43,"R",1123972,"Z",0,"Z",0,"R",61,"R",2374623,"R",17,"R",670609,"Z",0,"Z",0
226231,"R",270,"R",11612527,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",675440,"R",53,"R",4241592,"R",14,"R",533190,"R",22,"R",921264,"R",41,"R",1615325,"R",1,"R",46453,"R",41,"R",1075478,"Z",0,"Z",0,"R",64,"R",1926337,"R",11,"R",469501,"R",2,"R",107947
