,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
Williams College,0.88,30971,0,38770,3131,4145,11776,3903,0,0,10408,11464
Smith College,0.94,32485,0,38067,4824,4372,9701,5024,0,0,8183,7208
Stanford University,0.97,180755,27428,507470,124772,89675,107309,65963,0,0,61483,303883
California Polytechnic State University-San Luis Obispo,1.0,59168,0,68463,12587,10636,10148,8687,16715,8811,0,0
University of California-Santa Barbara,1.29,100346,26137,189205,26667,31874,27361,17658,35761,33474,0,0
Wellesley College,1.3,31658,0,47189,0,190,4527,30419,0,0,6609,5875
University of Virginia-Main Campus,1.47,140023,3667,258413,16387,51780,66177,34763,21229,48424,0,0
University of California-Irvine,1.52,114819,23761,223301,52522,30741,48947,13023,30753,24667,0,0
University of California-Riverside,1.58,73761,11428,149813,24542,21249,27100,14529,25731,21673,0,0
University of Michigan-Ann Arbor,1.61,348342,0,614701,108395,136066,138761,67617,44532,51542,0,0
Columbia University in the City of New York,1.67,216394,53938,469672,33575,47962,112282,117791,0,0,35609,52609
University of Illinois at Urbana-Champaign,1.67,216130,6066,430711,37167,79265,97229,50028,40576,62590,0,0
University of California-Los Angeles,1.71,232257,34433,535499,115802,75049,113125,34974,41779,101953,0,0
University of California-Davis,1.9,169033,52091,401440,70828,77923,48577,37297,40448,27569,0,0
Carnegie Mellon University,1.95,115961,19521,250589,18720,98881,65661,24974,0,0,16532,3907
University of California-Santa Cruz,1.95,59200,13426,148399,27203,32728,22614,11543,23097,19249,0,0
University of California-Berkeley,1.99,209408,84866,546887,77950,98549,87940,56774,69326,45080,0,0
Harvard University,2.25,280559,0,776118,106191,158947,278059,70506,0,0,62210,144816
Princeton University,2.25,133343,0,317146,18312,75405,74823,49933,0,0,29553,16592
Massachusetts Institute of Technology,2.25,174614,366125,778081,56387,75535,98838,77598,0,0,27502,18966
University of California-San Diego,2.29,118789,41278,352748,64328,70857,55013,29436,37532,39090,0,0
University of California-San Francisco,5.62,33674,12662,217658,65841,26684,51277,15068,9332,15725,0,0
