UNITID,ARANK,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAMNTHT,SAMNTHT,XSAMNTHM,SAMNTHM,XSAMNTHW,SAMNTHW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSAAVMNT,SAAVMNT,XSAAVMNM,SAAVMNM,XSAAVMNW,SAAVMNW 
170532,7,"R",100,"R",46,"R",54,"R",100,"R",46,"R",54,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",900,"R",414,"R",486,"R",7127893,"R",3537349,"R",3590544,"R",7920,"R",8544,"R",7388
170541,4,"R",124,"R",68,"R",56,"R",124,"R",68,"R",56,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1116,"R",612,"R",504,"R",11286125,"R",6363771,"R",4922354,"R",10113,"R",10398,"R",9767
170541,7,"R",124,"R",68,"R",56,"R",124,"R",68,"R",56,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1116,"R",612,"R",504,"R",11286125,"R",6363771,"R",4922354,"R",10113,"R",10398,"R",9767
170550,1,"R",72,"R",35,"R",37,"R",67,"R",30,"R",37,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"R",663,"R",330,"R",333,"R",5812119,"R",2804784,"R",3007335,"R",8766,"R",8499,"R",9031
170550,4,"R",19,"R",8,"R",11,"R",17,"R",6,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",177,"R",78,"R",99,"R",1305337,"R",524181,"R",781156,"R",7375,"R",6720,"R",7890
170550,7,"R",91,"R",43,"R",48,"R",84,"R",36,"R",48,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",7,"Z",0,"R",840,"R",408,"R",432,"R",7117456,"R",3328965,"R",3788491,"R",8473,"R",8159,"R",8770
170587,4,"R",32,"R",16,"R",16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",32,"R",16,"R",16,"R",384,"R",192,"R",192,"R",2176770,"R",1074021,"R",1102749,"R",5669,"R",5594,"R",5743
170587,7,"R",32,"R",16,"R",16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",32,"R",16,"R",16,"R",384,"R",192,"R",192,"R",2176770,"R",1074021,"R",1102749,"R",5669,"R",5594,"R",5743
170620,4,"R",48,"R",25,"R",23,"Z",0,"Z",0,"Z",0,"R",48,"R",25,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",480,"R",250,"R",230,"R",3610438,"R",1900133,"R",1710305,"R",7522,"R",7601,"R",7436
170620,5,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",10,"R",34000,"Z",0,"R",34000,"R",3400,"A",,"R",3400
170620,7,"R",49,"R",25,"R",24,"Z",0,"Z",0,"Z",0,"R",49,"R",25,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",490,"R",250,"R",240,"R",3644438,"R",1900133,"R",1744305,"R",7438,"R",7601,"R",7268
170639,1,"R",26,"R",18,"R",8,"R",26,"R",18,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",234,"R",162,"R",72,"R",1731014,"R",1212081,"R",518933,"R",7397,"R",7482,"R",7207
170639,2,"R",28,"R",18,"R",10,"R",28,"R",18,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",252,"R",162,"R",90,"R",1510241,"R",995135,"R",515106,"R",5993,"R",6143,"R",5723
170639,3,"R",51,"R",21,"R",30,"R",51,"R",21,"R",30,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",459,"R",189,"R",270,"R",2598174,"R",1099500,"R",1498674,"R",5661,"R",5817,"R",5551
170639,4,"R",13,"R",4,"R",9,"R",13,"R",4,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",117,"R",36,"R",81,"R",561078,"R",178500,"R",382578,"R",4796,"R",4958,"R",4723
170639,7,"R",118,"R",61,"R",57,"R",118,"R",61,"R",57,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1062,"R",549,"R",513,"R",6400507,"R",3485216,"R",2915291,"R",6027,"R",6348,"R",5683
170657,1,"R",199,"R",97,"R",102,"R",190,"R",92,"R",98,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",5,"R",4,"R",1818,"R",888,"R",930,"R",14616808,"R",6928432,"R",7688376,"R",8040,"R",7802,"R",8267
