Position,Count
Bus Sys Anl Supv 2,1
Bus Tchl Supp Anl 2,53
Bus Tchl Supp Anl 3,11
Bus Tchl Supp Supv 1,2
Bus Tchl Supp Supv 2,2
Buyer 1,1
Buyer 1 Supv,2
Buyer 2,5
Buyer 3,7
Buyer 4,5
Buyer 5,1
Buyer 5 Supv,4
CEO Med Ctr,1
CFO Health Sys And Campus,1
CFO Med Ctr,1
CIO Med Ctr,1
CMO Med Ctr,1
COO Med Ctr,1
Cabinet Maker,2
Cardiovascular Tchn,7
Career Svc Spec 2,2
Career Svc Spec 3,11
Career Svc Spec 4,3
Carpenter,24
Case Mgr Nex,84
Case Mgr Pd,6
Case Mgr Social Worker,11
Case Mgr Social Worker Pd,1
Case Mgr Supv,4
Cement Mason Floorer,6
Chan,1
Chf Campus Counsel,1
Chf Nurse Ofcr,1
Chief Resid Phys-Non Rep,61
Child Dev Demo Lect-Continuing,3
Child Life Mgr,1
Child Life Spec 1 Nex,10
Child Life Spec 1 Pd,3
Child Life Spec 2 Nex,4
City And Campus Fire Chf Mgr 3,1
Clerk Sr Or Secr,18
Clin Instr-Vol,1
Clin Lab Sci,119
Clin Lab Sci Pd,3
Clin Lab Sci Spec,19
Clin Lab Sci Spec Sr,3
Clin Lab Sci Spec Supv Sr Ex,4
Clin Lab Sci Supv Nex,19
Clin Lic Social Worker,60
Clin Lic Social Worker Chf,1
Clin Lic Social Worker Chf Asc,1
Clin Lic Social Worker Pd,6
Clin Lic Social Worker Supv,7
Clin Nurse 1,46
Clin Nurse 2,1776
Clin Nurse 3,410
Clin Nurse 4,26
Clin Nurse 5,12
Clin Prof-Vol,1
Clin Rsch Crd,79
Clin Rsch Crd Ast,9
Clin Rsch Crd Sr Nex,34
Clin Rsch Crd Sr Supv,3
Clin Rsch Supv,6
Clin Spec Ex,9
Clin Spec Nex,14
Clin Spec Supv Ex,2
Clin Spec Supv Nex,1
Cmptl And Data Sci Rsch Spec 3,2
Cmty Educ Mgr 1,1
Cmty Educ Spec 1,119
Cmty Educ Spec 2,181
Cmty Educ Spec 3,25
Cmty Educ Spec 4,1
Cmty Educ Supv 1,3
Cmty Educ Supv 2,16
Cmty Health Prg Chf Ast,6
Cmty Health Prg Mgr,8
Cmty Health Prg Mgr Supv,11
Cmty Health Prg Repr,33
Cmty Health Prg Repr Ast,19
Cmty Health Prg Repr Sr,18
Cmty Health Prg Supv,24
Cmty Svc Case Mgr,2
Cogen Opr,15
Collections Repr,3
Collections Repr Sr,1
Comm Mgr 1,3
Comm Mgr 1 Anr,1
Comm Mgr 2,2
Comm Mgr 4,1
Comm Spec 3,6
Comm Spec 4,19
Comm Spec 5,2
Comm Supv 2,1
Compensation Anl 2,1
Compensation Mgr 1,2
Computer Resc Spec 1,17
Computer Resc Spec 2,46
Computing Resc Mgr 1,4
Computing Resc Mgr 2,3
Continuing Appt-Temp Aug,3
Continuing Appt-Temp Aug-1/9,1
Continuing Educator I,1
Continuing Educator II,7
Continuing Educator III,6
Contracts And Grants Mgr 2,1
Contracts And Grants Supv 2,1
Cook,93
Cook Ast,7
Cook Pd,8
Cook Sr,23
Cook Sr Supv,2
Coop Ext Advisor,122
Counsel 3,2
Counsel 4,2
Counseling Psychologist 1 Ex,1
Counseling Psychologist 1 Nex,3
Counseling Psychologist 2,29
Counseling Psychologist 3,3
Counseling Psychologist 4,2
Counseling Psychology Mgr 1,2
Ct Tchno,16
