Position,Count
Radlg Equip Spec,2
Radlg Equip Spec Sr,4
Radlg Tchno,47
Radlg Tchno Chf,4
Radlg Tchno Chf Asc Ex,2
Radlg Tchno Pd,14
Radlg Tchno Prn,19
Radlg Tchno Prn Pd,2
Radlg Tchno Prn Supv,7
Radlg Tchno Sr,18
Radlg Tchno Sr Pd,2
Radlg Tchno Sr Supv,1
Reader-Gship,159
Reader-Non Gship,117
Reader-Non Gship/Non Rep,1
Reader-Non Stdnt,13
Recall Faculty,58
Recall Hcomp,15
Recall Non-Faculty Acad,45
Recall Teaching,23
Recreation Prg Instr,72
Recreation Supv,6
Recreation Supv Ast,3
Recreation Supv Prn,9
Recreation Supv Sr,12
Recreation Ther 1 Ex,1
Refrigeration Mech,16
Refrigeration Mech Ld,1
Reg Dental Ast,2
Reg Resp Ther 1,53
Reg Resp Ther Pd,11
Remd Tut II-Gship,41
Reprographics Tchn Ld,1
Reprographics Tchn Prn,4
Reprographics Tchn Sr,4
Res Assoc(Wos),4
Res-Ay,5
Res-Ay-1/9,1
Res-Ay-1/9-B/E/E,2
Res-Ay-B/E/E,2
Res-Fy,32
Res-Fy-B/E/E,7
Res-Sft,6
Resid Phys I/Non Rep,123
Resid Phys II-Viii/Non Rep,469
Resid Phys/Subspec 4-8/Non Rep,144
Resid-Vet Med/Non Rep,125
Resp Ther 1,9
Resp Ther 2,32
Resp Ther 3,2
Resp Ther 3 Supv,4
Resp Ther 4,3
Resp Ther 4 Supv,1
Resp Ther 5,1
Resp Ther Pd,1
Roofer,3
Roofer Ld,1
Rsch Adm 2,1
Rsch Adm 3,3
Rsch Data Anl 2,2
Rsch Data Anl 3,2
Rsdt Advisor,6
Rsdt Dir 1,6
Scene Tchn,26
Scene Tchn Ast,7
Scene Tchn Prn,3
Scene Tchn Sr,8
Security Guard,7
Security Guard Sr,1
Security Guard Sr Supv,1
Sheetmetal Mech,8
Skld Crafts And Trades Mgr 1,1
Skld Crafts And Trades Supv 2,2
Social Worker 1,2
Social Worker 2,5
Social Worker 2 Pd,3
Spc Stdt Bya,212
Spec,23
Specialist,24
Specialist Aes,1
Specialist Coop Ext,49
Spectroscopist,3
Speech Pathologist Nex,2
Speech Pathologist Pd,5
Speech Pathologist Sr Ex,12
Speech Pathologist Sr Pd,1
Speech Pathologist Sr Supv Ex,2
Sr Lect Soe-Ay,8
Sr Lect Soe-Fy,1
Sr Lect Soe-Hcomp,1
Sr Lect-Fy-Continuing,1
Sra 1,164
Sra 2,55
Sra 2 Nex,284
Sra 2 Supv,20
Sra 3,236
Sra 3 Supv,39
Sra 4,80
Sra 4 Supv,52
Sra 5,14
Staff Pharmacist 2,91
Stage Helper,6
Statistician,10
Statistician Ast,2
Statistician Prn,5
Statistician Sr,8
Stdt 2,3713
Stdt 2 Anr,50
Stdt 2 Non Uc,25
Stdt 3,3065
Stdt 3 Anr,12
Stdt 3 Non Uc,30
Stdt 4,1793
Stdt 4 Anr,1
Stdt 4 Non Uc,19
Stdt Acad Mgr 1,1
Stdt Acad Spec 3,9
Stdt Acad Spec 4,2
Stdt Activities Appt Official,100
Stdt Affairs Ofcr 1,175
Stdt Affairs Ofcr 1 Supv,2
Stdt Affairs Ofcr 2,210
Stdt Affairs Ofcr 2 Supv,14
Stdt Affairs Ofcr 3 Ex,101
Stdt Affairs Ofcr 3 Supv,23
Stdt Affairs Ofcr 4,18
Stdt Affairs Ofcr 4 Supv,32
Stdt Affairs Ofcr 5 Supv Ex,8
Stdt Aid Outside Agency,161
Stdt Health Physcn 3,1
Stdt Health Physcn 4,11
Stdt Health Physcn 4 Pd,1
Stdt Health Physcn 5,3
Stdt Health Physcn 5 Pd,3
Stdt Svc Advisor 3,1
Stdt Volunteer,104
Steamfitter,10
Steamfitter Worker Ld,1
Sterile Processing Tchn 1,14
Sterile Processing Tchn 1 Pd,3
Sterile Processing Tchn 2,35
Sterile Processing Tchn 3,14
Storekeeper,12
Storekeeper Ast,2
Storekeeper Ld,3
Storekeeper Sr,14
Storekeeper Sr Ld,2
Storekeeper Sr Supv,2
Storekeeping Supv 1,1
Stores Supv,2
Stores Supv Sr,5
Stores Worker,11
Supv,14
Supv Pe-Ay,1
Supv Teacher Ed-Ay,10
Supv Teacher Ed-Ay-Continuing,1
Surgical Tchn,4
Surgical Tchn Pd,1
Surgical Tchn Prn,15
Surgical Tchn Sr,31
Survey Researcher 2,2
Survey Worker,11
Survey Worker Sr,2
Sys Adm 2,13
Sys Adm 3,44
Sys Adm 4,16
Sys Adm 5,10
Sys Admst Mgr 1,1
Sys Admst Supv 1,2
Sys Admst Supv 2,4
Sys Admst Supv 2 Anr,1
Tchl Project Mgr 2,2
Tchl Project Mgt Profl 1,1
Tchl Project Mgt Profl 2,2
Tchl Project Mgt Profl 3,4
Tchl Project Mgt Profl 4,4
Tchl Project Mgt Profl 5,6
Tchn,144
Tchn 1,1
Tchn 2,76
Tchn 3,138
Tchn 3 Supv,12
Tchn 4 Nex,6
Tchn 4 Supv,7
Tchn Ast,15
Tchn Prn,5
Tchn Prn Supv,17
Tchn Sr,32
Tchn Sr Supv,3
Teacher-Unex,21
Teacher-Unex-Contract Yr,427
Teachg Asst-Gship,2000
Teachg Asst-Non Gship,5
Television Engr,2
Television Tchn,4
Television Tchn Prn,7
Television Tchn Prn Supv,1
Television Tchn Sr,3
Theater Prod Supv,3
Theater Prod Supv Sr Ex,1
Trainer 3,1
Training Dev Mgr 2,1
Transit Maint Mgr,1
Translator Pd,9
Translator Tchl,2
Transplant Crd 1,2
Transplant Crd 2,7
Transplant Crd 3,12
Tree Trimmer,3
Tree Trimmer Ld,1
Tut-Non Gship,296
Tut-Non Stdnt,4
Ultrasound Tchno Pd,2
Ultrasound Tchno Prn,3
Ultrasound Tchno Prn Supv,5
Ultrasound Tchno Sr,51
Ultrasound Tchno Sr Pd,6
Unclassified,34
Univ Librarian,1
User Experience Designer 3,3
User Experience Designer 4,1
VC And Dean Som,1
VC Dev And Univ Rel,1
VC IT,1
VC Rsch,1
VC Stdt Affairs,1
Ventilation Mech,8
Ventilation Mech Ld,1
Veterinarian Lam Asc,49
Veterinarian Lam Ast,5
Veterinarian Sr,24
Veterinarian Sr Pd,1
Vice Chan Asc,14
Vice Chan Ast,10
Vice Provost,3
Vis Assoc Prof,3
Vis Assoc Prof-Hcomp,6
Vis Assoc Proj Scientist,1
Vis Assoc Res,7
Vis Asst Prof,23
Vis Asst Prof-Hcomp,11
Vis Asst Proj Scientist,7
Vis Asst Res,14
Vis Prof,8
Vis Proj Scientist,5
Vis Res,12
Visiting Professor - Fiscal Yr,1
Visitor-Undergraduate (Wos),1
Visual Comm Supv 2,1
Voc Nurse,3
Voc Nurse Pd,16
Voc Nurse Sr,110
Voc Nurse Sr Supv,11
Vst Assoc Professor-Ay-1/9Th,2
Vst Assoc Professor-Fiscal Yr,2
Vst Asst Professor-Acad Yr-1/9,1
Vst Professor-Acad Yr-1/9 Pmt,1
Vstg Ast Pro-Ay-Bus/Econ/Engr,1
Vstg Prof-Acad Yr-Bus/Econ/Eng,1
Wardrobe Tchn Sr,1
Water And Wastewater Opr,8
Water And Wastewater Opr Appr,4
Writer,2
Writer Ast,23
Writer Editor 3,10
Writer Editor 4,3
Writer Sr,33
Written Comm Supv 2,1
