Position,Wages,Count
Ast To Dean Dir Chair 2,103508,1
Act Assoc Prof-Ay,104058,1
Bioinformatics Supv 2,104496,1
Continuing Educator III,104650,1
Architect Sr,106062,1
Proj Scientist-Fy,106267,1
Lab Ast 4,106734,2
Tchl Project Mgr 1,106892,1
Library Ast 4 Supv,106989,3
Auto Tchn,107082,2
Storekeeper,109192,3
Blank Ast 3 Supv,110068,2
Nurse Pd,110363,4
Publ Crd Sr,114927,2
Auditor Prn,114949,1
Adm Crd Ofcr Asc,115130,1
Personnel Anl Prn 2,117364,1
Mail Processor,118990,3
Clin Nurse 3,119770,2
Bioinformatics Mgr 1,120501,1
Sra 3 Supv,121030,2
Nurse Practitioner Supv 3,121052,1
Baker,122750,3
Comm And Network Tchl Anl 5,125007,1
Prg Repr 2,125249,4
Pharmacist Sr Ex,125824,1
Bioinformatics Progr 5,126598,1
Engr Prn,127229,1
Prg Promotion Mgr 1,128274,2
Tchl Project Mgt Profl 4,128296,1
Planner Prn,128299,1
Assoc Adj Prof-Ay,129739,1
Groundskeeper,129776,9
Sra 2,129960,5
Phys Plt Supt Ast,132373,2
Stores Supv Sr,132745,2
Agricultural Tchn,133020,9
Lrng Skls Cnslr,133599,6
Admin Mgr 2,133721,1
Act Assoc Prof-Ay-B/E/E,133958,1
Bus Sys Anl 2 Nex,133958,2
Producer Dir,134400,3
Police Lieutenant Msp,134500,1
Architect Prn,134742,1
Assoc Adj Prof-Fy,135621,3
Sra 5 Supv,135652,2
Admin Anl Supv Nex,136055,4
IT Security Mgr 1,136750,1
Accountant 3,136758,2
Comm And Network Tchl Mgr 2,138780,1
Child Dev Ctr Teacher 2,140629,3
Educ Fac Planner Sr,141882,2
Stdt Affairs Ofcr 5,142233,3
Groundskeeper Ld,142446,3
Campus Counsel,142539,1
Editor Sr,142671,3
Television Engr,144175,2
Ath Trainer,144488,4
Sra 1,144793,8
Technology Transfer Ofcr 1,144803,2
Academic Coord I-Fy,146001,2
Technology Transfer Ofcr 3,149424,1
Bus Tchl Supp Anl 3,151033,2
Applications Progm Mgr 3,151217,1
Museum Sci Sr,151583,4
Blank Ast 2 Supv,152309,3
Museum Sci Prn Supv,152718,2
Accountant 3 Supv,152744,2
Clin Nurse 2,154093,4
Bus Sys Anl 3,154255,2
Producer Dir Sr,154261,2
Grounds Sr Supv Ex,155298,3
Police Chf,157356,1
Buyer 2,157501,4
Prog Coord,158406,9
EHS Spec Ast,161090,3
Accountant 4,161421,2
Recreation Prg Instr,161716,48
Proctor Sr Supv,162614,3
Mgt Svc Ofcr 2,162746,2
Assoc Vice Provost,164000,1
Buyer 3,165623,3
Progr Anl 5 Supv,167251,1
Academic Administrator Vii,168342,1
Dev Engr Ast,170522,3
Res-Fy-B/E/E,171083,1
Info Sys Mgr 3,171296,1
Counseling Psychologist Sr,174723,2
Dean Univ Ext,177237,1
Financial Anl 3,177688,2
Vice Provost,177717,1
Artist Sr,179346,3
Asst Res-Fy-B/E/E,179971,2
Museum Sci Prn,180309,3
Assoc Dean,181376,1
Bioinformatics Progr 2,181387,3
Bus Tchl Supp Anl 2,182037,4
Library Ast 5 Supv,182801,3
Editor,183112,4
Sys Adm 2,185830,3
Budget Anl Ast,186657,3
Mgt Svc Ofcr 3,187400,4
Hvy Duty Equip Tchn,187783,3
Asc Physcn Diplomate,188459,2
Adj Prof-Fy,188572,2
Digital Comm Spec 3,190039,3
Exec Ast Or Spc Ast,191032,2
Applications Progr 2,192913,3
Bus Tchl Supp Supv 1,193973,3
Act/Interim Vice Provost,194931,1
Deputy Dir,198558,1
Blank Ast 1,198922,11
Act/Interim Dean,202500,1
Architect Sr Supv,206622,2
Storekeeper Ld,209912,4
Qa Release Mgt Anl 2,210546,4
Sys Admst Supv 2,211907,2
Adj Prof-Fy-B/E/E,212425,2
Univ Librarian,212625,1
Stdt Activities Appt Official,213193,200
Chan Map Ast,213341,1
Electr Tchn Sr,218369,4
IT Security Anl 4,220618,2
Lrng Skls Cnslr Prn Supv,220624,4
Dev Tchn 5,221827,4
Physcn Sr,222232,1
Assoc Res-Fy-B/E/E,225759,2
Stdt Affairs Ofcr 2 Supv,226905,5
IT Architect 4,228844,2
Intercol Ath Coach Ast Ex,229344,19
Counseling Psych Intern Ex,229882,13
Bldg Maint Supv Sr,232323,4
Phys Plt Adm Ast,232548,2
Assoc Vice Chanc,233065,1
Prof-Fy-B/E/E,233956,1
Chf Campus Counsel,234647,1
Stdt Aid Outside Agency,235057,111
Agriculture Supt Prn,245960,5
Planner Sr,252514,3
Personnel Anl Sr Supv,253606,3
Const Insp Asc,254797,5
Storekeeper Sr,257624,9
Coach Spec,259878,9
Auto Equip Opr Prn,260230,5
Recall Teaching Non-Senate,260451,14
Prof-Fy,263812,1
Applications Progm Mgr 1,266554,2
Accountant 1,268516,7
VC IT,271148,1
VC Bus Admst,271148,1
VC Budget And Planning,271148,1
Publ Info Repr Sr,279355,4
Computer Resc Spec 1,287366,9
Engr Ast,291413,5
Assoc In __ -Ay-1/9-Gship,292059,18
Sra 4,293519,5
Info Sys Anl 5,301999,2
VC Rsch,302434,1
Prg Repr 3,306727,6
Library Ast 5,310256,6
Custodian Sr Supv,311405,6
Reader-Non Gship,311607,197
Vis Asst Prof,314189,8
Comm And Network Tchl Supv 2,319660,3
Child Dev Ctr Teacher 1,320425,12
VC Dev And Univ Rel,321921,1
Budget Anl Sr Supv,322189,4
Museum Sci,322993,7
EHS Spec 2 Ex,324549,4
Food Svc Mgr,329113,7
Stdt 4 Non Uc,331365,79
Adm Crd Ofcr,332419,3
Admin Spec Supv,333635,7
Accountant 2 Ex,337217,7
Recall Teaching,337910,23
Recall Non-Faculty Acad,340501,7
Assoc Librarian -Career Status,343416,5
Lect In Summer Session,343911,26
Exec Vc And Provost,344756,1
Personnel Anl Prn,347552,4
Med Ast 2,351877,10
Sra 3,356215,9
Telescope Tchn Prn,359848,7
Phys Plt Supt,363840,6
Lab Ast 2,369424,24
Budget Anl Prn 1,372863,7
Lect-Ay-1/9-Continuing,373749,20
Bioinformatics Progr 3,375311,5
Personnel Anl,377992,7
EHS Spec 1 Ex,379637,8
Academic Coord II-Fy,383120,5
Recreation Supv Sr,384437,11
Library Ast 3,389149,14
Chan,392076,1
Sci Prn,411613,3
Applications Prg Supv 2,412375,4
Electr Tchn Prn,420355,7
Proj Scientist-Fy-B/E/E,424401,6
Supv Teacher Ed-Ay,425322,6
Dev Engr Asc,427182,7
Architectural Asc Ex,435228,5
EHS Spec 3 Supv,438086,5
Phys Plt Mech Supv Nex,446407,5
Educ Fac Planner,460812,6
Director,466254,3
Comm And Network Tchl Anl 4,474139,4
Phys Plt Supt Sr,480379,5
Tut-Non Stdnt,489091,44
Custodian Ld,490079,10
Database Adm 4,500200,5
Food Svc Mgr Ast Supv,507551,12
Sci,509186,4
Dev Engr Sr,510783,6
Cook Ast,511593,17
Info Sys Anl 2,515006,8
Budget Anl Prn Supv,517150,6
Teachg Fellow-Gship,534395,30
Sci Sr,543246,5
Library Ast 4,543878,12
Dir Asc,548189,5
Lrng Skls Cnslr Prn,548496,15
Asst Proj Scientist-Fy-B/E/E,550127,10
Lect Soe-Ay,555622,6
Intercol Ath Head Coach Ex,560148,17
Info Sys Mgr 2,561855,4
Personnel Anl Sr,561884,8
Recall Faculty,563741,15
Mgt Svc Ofcr 3 Supv,566773,8
Publ Safety Dispatcher,584572,10
Stdt Health Physcn 4,588012,7
Stdt Affairs Ofcr 4 Supv,613916,10
Assoc Proj Scientist-Fy,620021,11
Sra 2 Nex,646952,17
Gardener Groundskeeper,649210,17
Proctor,661192,25
Assoc Res-Fy,666984,8
Admin Anl Prn 2,680833,7
Police Sergeant,681870,6
Info Sys Supv 2,683565,6
Sr Lect Soe-Ay,687691,6
Food Svc Mgr Sr,702309,14
Cook,708140,23
Counseling Psychologist 2,712987,16
Sys Adm 4,726269,7
Lab Ast 3,736618,26
Tchl Project Mgt Profl 3,755717,13
Cook Sr,764442,23
Applications Progr 4,778409,8
Engr Sr,800355,7
Asst Res-Fy,808338,14
Mgt Svc Ofcr 1 Supv,816571,13
Info Sys Anl 4,832851,9
Sci Ast,851914,8
Computer Resc Spec 2,858805,21
Comm And Network Tchl Anl 3,864973,11
Remd Tut I-Non Gship,865913,460
Librarian-Career Status,868537,9
Bioinformatics Progr 4,888063,9
Vice Chan Ast,894168,6
